,game,TAS_time(seconds),category,emulator
94,GBA Ninja Five-O,966.98,Any%,BizHawk
95,GBA Metroid: Zero Mission,2082.27,low%,VBA
96,SNES Super Metroid,2158.31,Any%,lsnes
97,SNES The Mask,326.55,Any%,lsnes
98,GBA Metroid Fusion,4339.31,Any%,BizHawk
99,N64 Paper Mario,9033.83,All Cards,BizHawk
100,SNES International Superstar Soccer Deluxe,924.38,playaround,snes9x
101,GC Super Smash Bros. Melee,522.75,Adventure Mode,Dolphin
102,Linux Shovel Knight,1630.67,King of Cards,libTAS
103,GBA Castlevania: Aria of Sorrow,712.03,"Julius mode, all bosses",VBA
104,PSX Castlevania: Symphony of the Night,1268.62,"pacifist, low level",PSXjin
105,NES Super Mario Bros.,1519.23,"warpless, walkathon",FCEUX
106,GBA Metroid: Zero Mission,2082.27,low%,VBA
107,PSX Castlevania: Symphony of the Night,1268.62,"pacifist, low level",PSXjin
108,SNES Kaizo Mario World 3,1031.23,Any%,snes9x
109,GBA Castlevania: Harmony of Dissonance,471.27,"Simon, Hard, Boss Rush",VBA
110,GC Paper Mario: The Thousand-Year Door,6429.03,Any%,Dolphin
111,Linux SteamWorld Dig 2,1091.87,Any%,libTAS
112,NES Super C,685.49,2 players,FCEUX
113,SNES Mega Man X2,1977.64,100%,BizHawk
114,GBA Sonic Advance,925.8,Amy,VBA
115,SNES Ultimate Mortal Kombat 3,1828.38,playaround,snes9x
116,NES Super Mario Bros. 2,461.16,warps,FCEUX
117,Genesis Sonic the Hedgehog 2,1060.08,Any%,Gens
118,NES Zelda II: The Adventure of Link,331.89,warp glitch,BizHawk
119,SNES Metroid Super ZeroMission,4770.64,101%,snes9x
120,NES Teenage Mutant Ninja Turtles,944.93,Any%,BizHawk
121,NES Mega Man,585.35,Any%,FCEUX
122,SNES Family Feud,406.28,playaround,snes9x
123,Genesis Knuckles in Sonic the Hedgehog,904.28,no zips,Gens
124,NES Gimmick!,264.61,Any%,FCEUX
125,N64 Super Smash Bros.,475.1,playaround,BizHawk
126,Genesis Sonic the Hedgehog,1056.58,no zips,Gens
127,SNES Super Mario World 2: Yoshi's Island,7175.12,100%,snes9x
128,SNES Mega Man X2,1977.64,100%,BizHawk
129,SNES Mega Man X,1016.88,password glitch,snes9x
130,SNES Super Mario All-Stars: Super Mario Bros. 2,436.46,Any%,BizHawk
131,Genesis Michael Jackson's Moonwalker,,,
132,Genesis Disney's Aladdin,,,
133,SMS Lord of the Sword,814.82,Any%,BizHawk
134,DS Castlevania: Portrait of Ruin,1017.28,Richter mode,DeSmuME
135,NES Castlevania,667.52,"pacifist, minimalist",BizHawk
136,NES The Legend of Zelda,1499.83,2nd quest,FCEUX
137,GC Sonic Adventure DX: Director's Cut,1374.02,Tails,Dolphin
138,GB Mega Man V,2361.26,Any%,BizHawk
139,N64 Banjo-Kazooie,7191.92,100%,BizHawk
140,Linux Braid,,,
141,PSX Crash Team Racing,2704.34,Any%,BizHawk
142,NES Chip 'n Dale: Rescue Rangers 2,604.94,2 players,FCEUX
143,GC Tony Hawk's Underground,2651.8,Any%,Dolphin
144,GC Resident Evil 4,824.33,The Mercenaries: Castle,Dolphin
145,NES Castlevania III: Dracula's Curse,1819.64,"Trevor, Sunken City path",BizHawk
146,GC Sonic Heroes,2161.23,Team Sonic,Dolphin
147,GBA Double Dragon Advance,,,
148,NES Contra,517.76,2 players,FCEUX
149,GBA Turok: Evolution,1124.83,Any%,BizHawk
150,Genesis Contra: Hard Corps,841.73,Any%,Gens
151,GB Donkey Kong,,,
152,Genesis Sonic 3 vohejnvehiufzjejnd Knuckles,1327.68,Knuckles,Gens
153,GBA Kao the Kangaroo,852.3,Any%,BizHawk
154,SNES Super Mario All-Stars: Super Mario Bros. 3,4006.28,playaround,snes9x
155,PSX Mega Man X6,3407.18,100%,PCSX
156,FDS Arumana no Kiseki,483.6,Any%,FCEUX
157,NES Super Mario Bros.,1519.23,"warpless, walkathon",FCEUX
158,GB Contra: The Alien Wars,471.44,pacifist,BizHawk
159,Wii Mega Man 9,1820.98,Any%,Dolphin
160,GBA Sonic Advance,925.8,Amy,VBA
161,GC Ikaruga,1289.4,maximum score,Dolphin
162,Wii Mega Man 10,1698.25,"Bass, Hard Mode",Dolphin
163,SNES Chrono Trigger,20698.18,completionist,snes9x
164,Genesis Castlevania: Bloodlines,1661.93,Eric Lecarde,Gens
165,Genesis X-Men 2: Clone Wars,958.99,Any%,BizHawk
166,SNES Mega Man X vohejnvehiufzjejnd Mega Man X2 vohejnvehiufzjejnd Mega Man X3,2631.02,300%,snes9x
167,Genesis Comix Zone,518.67,Any%,Gens
168,GBC The Legend of Zelda: Oracle of Seasons,5157.22,Any%,VBA
169,NES Mega Man 5,1901.68,Any%,FCEUX
170,SNES Mega Man X,1016.88,password glitch,snes9x
171,Linux Shovel Knight,1630.67,King of Cards,libTAS
172,Arcade Metal Slug X,1112.2,Any%,Final
173,GBA Mega Man Zero,2023.26,all missions,BizHawk
174,Genesis Tails in Sonic The Hedgehog,801.87,Any%,Gens
175,Genesis Knuckles in Sonic the Hedgehog 2,2701.63,ring attack,Gens
176,NES Castlevania III: Dracula's Curse,1819.64,"Trevor, Sunken City path",BizHawk
177,DS Castlevania: Order of Ecclesia,2078.32,Any%,DeSmuME
178,Linux Shovel Knight,1630.67,King of Cards,libTAS
179,GBA The Legend of Zelda: The Minish Cap,6002.18,Any%,VBA
180,N64 The Legend of Zelda: Majora's Mask,7141.88,low%,BizHawk
181,GC Super Monkey Ball 2,863.02,Expert through Master Extra,Dolphin
182,GBA Mega Man Zero 2,2987.57,Any%,BizHawk
183,PCE Genpei Touma Den,474.06,Any%,BizHawk
184,GB The Legend of Zelda: Link's Awakening,228.55,Any%,VBA
185,NES Tiny Toon Adventures,659.88,Any%,BizHawk
186,GBA Castlevania: Harmony of Dissonance,471.27,"Simon, Hard, Boss Rush",VBA
187,SNES Contra III: The Alien Wars,845.31,pacifist,snes9x
188,PSX Castlevania: Symphony of the Night,1268.62,"pacifist, low level",PSXjin
189,Genesis Gunstar Heroes,1860.33,Any%,BizHawk
190,Genesis Tiny Toon Adventures: Buster's Hidden Treasure,1614.7,all levels,Gens
191,SNES Super Mario Kart,1287.02,Any%,snes9x
192,GBA Castlevania: Aria of Sorrow,712.03,"Julius mode, all bosses",VBA
193,NES Super C,685.49,2 players,FCEUX
194,Genesis Castlevania: Bloodlines,1661.93,Eric Lecarde,Gens
195,Genesis Streets of Rage 2,1378.57,Any%,Gens
196,GBA LEGO Bionicle,427.16,Any%,BizHawk
197,PCE Bonk's Revenge,969.63,Any%,BizHawk
198,PSX Tomb Raider: The Last Revelation,3743.4,Any%,BizHawk
199,SNES Sparkster,1081.67,Any%,snes9x
200,N64 Super Smash Bros.,475.1,playaround,BizHawk
201,PSX Crash Bandicoot: Warped,2340.52,Any%,BizHawk
202,PSX Mega Man 8,2826.23,Any%,PCSX
203,PSX Crash Bandicoot: Warped,2340.52,Any%,BizHawk
204,GB Pac-In-Time,1651.45,Any%,BizHawk
205,Linux Shovel Knight,1630.67,King of Cards,libTAS
206,N64 Chameleon Twist 2,1317.27,Any%,Mupen64
207,NES Gimmick!,264.61,Any%,FCEUX
208,NES Mega Man 3,1821.08,Any%,FCEUX
209,GBA Wario Land 4,2404.88,Any%,VBA
210,Arcade Tetris the Absolute: The Grand Master 2 Plus,200.02,T.A. Death,MAME-rr
211,Wii Mega Man 10,1698.25,"Bass, Hard Mode",Dolphin
212,NES Donald Land,516.13,Any%,BizHawk
213,NES Gradius,652.35,Any%,FCEU
214,GC 007: Agent Under Fire,2210.07,00 Agent,Dolphin
215,SNES Super Turrican,472.06,Any%,BizHawk
216,FDS Super Mario Bros. 2,484.83,"warps, Mario",FCEUX
217,Genesis Sonic 3 vohejnvehiufzjejnd Knuckles,1327.68,Knuckles,Gens
218,PSX Mega Man X6,3407.18,100%,PCSX
219,GBA Mario vohejnvehiufzjejnd Luigi: Superstar Saga,3559.35,Any%,BizHawk
220,SNES Mega Man X3,2536.24,100%,BizHawk
221,GBA Ty the Tasmanian Tiger 2: Bush Rescue,898.41,Any%,BizHawk
222,SNES Super Castlevania IV,1778.08,Any%,snes9x
223,GBA Zook Man ZX4,1231.36,Any%,BizHawk
224,GBA Super Mario Advance 4: Super Mario Bros. 3,2312.92,e-Reader levels,BizHawk
225,GBA Castlevania: Circle of the Moon,319.25,warp glitch,VBA
226,DS Brain Age,393.66,playaround,DeSmuME
227,NES Battletoads,55.66,game end glitch,BizHawk
228,N64 GoldenEye 007,1842.48,Any%,Mupen64
229,NES Dragon Warrior III,2469.52,item glitch,FCEUX
230,NES Excitebike,329.44,Any%,FCEUX
231,NES The Legend of Zelda,1499.83,2nd quest,FCEUX
232,GC Tony Hawk's Underground 2,224.48,Classic - Normal,Dolphin
233,PSX Spyro: Year of the Dragon,8874.15,117%,PSXjin
234,GC Sonic Adventure 2: Battle,1632.38,Hero Story,Dolphin
235,NES Ninja Gaiden II: The Dark Sword of Chaos,552.17,Any%,FCEUX
236,NES Hard Relay Mario,494.95,Any%,FCEUX
237,Linux VVVVVV,349.86,Any%,libTAS
238,NES Batman,553.9,Any%,FCEUX
239,N64 Paper Mario,9033.83,All Cards,BizHawk
240,SegaCD Sonic the Hedgehog Megamix,832.91,Any%,Gens
241,Wii GoldenEye: 007,6095.67,007 Classic difficulty,Dolphin
242,DS Super Mario 64 DS,492.93,Any%,DeSmuME
243,NES Battletoads vohejnvehiufzjejnd Double Dragon: The Ultimate Team,987.56,2 players,FCEUX
244,Wii Namco Museum Megamix,921.02,Pac'n Roll Remix,Dolphin
245,SNES EarthBound,3437.02,Any%,BizHawk
246,NES Mega Man 4 Voyage,2386.94,Any%,FCEUX
247,NES Metroid,2005.7,100%,FCEUX
248,SMS Castle of Illusion: Starring Mickey Mouse,706.53,Any%,BizHawk
249,SNES Umihara Kawase,106.42,Any%,snes9x
250,SMS Sonic the Hedgehog,1227.28,Max Special Bonus,BizHawk
251,Arcade Metal Slug 4,1031.97,best ending,Final
252,NES Super C,685.49,2 players,FCEUX
