,game,TAS_time(seconds),category,emulator
434,GBA Pokémon: FireRed Version,6257.34,Any%,VBA
435,PCE Gomola Speed,765.34,Any%,BizHawk
436,GB Mega Man: Dr. Wily's Revenge,1016.99,Any%,lsnes
437,GBA Super Mario Advance,420.58,Any%,VBA
438,GBA The SpongeBob SquarePants Movie,1698.78,Any%,VBA
439,Genesis Splatterhouse 2,862.24,Any%,BizHawk
440,SMS Golden Axe Warrior,1849.1,Any%,BizHawk
441,Genesis Sparkster,1629.55,100%,Gens
442,NES Werewolf: The Last Warrior,539.58,Any%,FCEUX
443,DOS Jazz Jackrabbit,1601.92,Any%,JPC-RR
444,GBA Kuru Kuru Kururin,371.59,Any%,BizHawk
445,DS Castlevania: Portrait of Ruin,1017.28,Richter mode,DeSmuME
446,N64 Super Mario 64: The Green Stars,5616.25,all 130 stars,Mupen64
447,Genesis Ecco: The Tides of Time,2135.2,Any%,BizHawk
448,N64 The Legend of Zelda: Majora's Mask,7141.88,low%,BizHawk
449,NES Battle Kid 2: Mountain of Torment,2758.69,100%,BizHawk
450,GBA Fire Emblem,5102.9,Any%,VBA
451,GBA Mega Man Zero 3,3767.71,100%,VBA
452,GBA Sonic Advance 3,4071.89,100%,VBA
453,SNES Skyblazer,1467.02,Any%,snes9x
454,GB Wario Land: Super Mario Land 3,1183.51,Any%,BizHawk
455,NES Kirby's Adventure,35.76,game end glitch,FCEUX
456,NES Conquest of the Crystal Palace,641.43,Any%,BizHawk
457,GBC Pokémon: Crystal Version,10116.03,Any%,BizHawk
458,SNES Battletoads in Battlemaniacs,1099.75,best ending,snes9x
459,NES Kaizo Mario Bros. 3,882.71,Any%,FCEUX
460,Arcade Marvel Super Heroes vs. Street Fighter,1265.05,Any%,Final
461,SNES Mortal Kombat 3,1374.22,playaround,snes9x
462,NES Metal Gear,1344.55,Any%,FCEUX
463,SNES Super Mario RPG: Legend of the Seven Stars,12802.13,100%,BizHawk
464,N64 Bomberman 64,3696.02,100%,Mupen64
465,PCE Bonk's Adventure,1284.54,Any%,BizHawk
466,Arcade The Simpsons,817.73,Any%,Final
467,Genesis Phantasy Star IV,1233.04,macro glitch,BizHawk
468,NES Battle City,780.35,Any%,FCEUX
469,GC NFL Street,4460.35,NFL Challenge,Dolphin
470,NES Journey to Silius,529.86,Any%,FCEUX
471,SNES Mickey no Tokyo Disneyland Daibouken,1235.46,Any%,BizHawk
472,SMS Alex Kidd in Miracle World,591.29,Any%,BizHawk
473,NES Donkey Kong,68.67,Any%,FCEUX
474,Genesis Jewel Master,554.73,Any%,BizHawk
475,DOOM The Ultimate Doom,196.38,Episode 3,DooM
476,SNES Donkey Kong Country 2: Unveiled,,,
477,N64 Kirby 64: The Crystal Shards,3975.62,all shards,Mupen64
478,DS Metal Slug 7,1209.56,Any%,DeSmuME
479,DOOM Final Doom,773.28,The Plutonia Experiment,DooM
480,PSX Wild Arms,4052.68,Any%,BizHawk
481,N64 Star Wars Episode I: Racer,,,
482,SNES Disney's Goof Troop,,,
483,GBC Bomberman Quest,395.66,game end glitch,BizHawk
484,GC Resident Evil 4,824.33,The Mercenaries: Castle,Dolphin
485,Windows MegaMari: Marisa no Yabou,1969.12,Any%,Hourglass
486,NES Rockman: Spirits of Hackers,1796.87,Any%,FCEUX
487,SNES Super Mario All-Stars: Super Mario Bros. 3,4006.28,playaround,snes9x
488,NES Double Dragon II: The Revenge,557.78,1 player,FCEUX
489,SNES F-Zero,687.87,Queen League,lsnes
490,SNES Run Saber,785.27,Any%,BizHawk
491,SNES Speedy Gonzales: Los Gatos Bandidos,1634.56,100%,lsnes
492,MSX Metal Gear,1588.05,Any%,openMSX
493,NES Dungeon Magic: Sword of the Elements,62.83,Any%,FCEUX
494,NES The Flintstones: The Rescue of Dino vohejnvehiufzjejnd Hoppy,812.54,Any%,FCEUX
495,PSX Warcraft II: The Dark Saga,4673.32,Human Campaign,PSXjin
496,SNES Disney's Aladdin,,,
497,SNES Lemmings,3784.45,best ending,snes9x
498,GBA Mega Man Zero,2023.26,all missions,BizHawk
499,DS Castlevania: Portrait of Ruin,1017.28,Richter mode,DeSmuME
500,N64 Mortal Kombat Trilogy,1435.92,Endurance Mode,Mupen64
501,NES The Goonies II,653.64,Any%,FCEUX
502,Genesis Chakan: The Forever Man,642.38,Any%,BizHawk
503,FDS Super Mario Bros.,164.61,-3 stage ending,FCEUX
504,NES Prince of Persia,976.06,Any%,BizHawk
505,GBA Mega Man Zero 4,2227.48,Any%,VBA
506,PSX Disney's 102 Dalmatians: Puppies To The Rescue,1091.99,Any%,BizHawk
507,SNES Super Bomberman,756.93,Any%,snes9x
508,NES Teenage Mutant Ninja Turtles III: The Manhattan Project,1616.29,2 players,FCEUX
509,PSX Tomb Raider Chronicles,4376.26,Any%,BizHawk
510,NES Rush'n Attack,575.3,Any%,FCEUX
511,N64 Yoshi's Story,639.67,Any%,Mupen64
512,DOS Jetpack,1942.56,Any%,JPC-RR
513,NES M.C. Kids,1466.29,all levels,FCEUX
514,SNES Super Star Wars,1116.01,Any%,BizHawk
515,NGP Sonic the Hedgehog Pocket Adventure,799.76,Any%,BizHawk
516,NES Mini Putt,414.17,Any%,FCEUX
517,NES Bucky O'Hare,1333.6,Any%,FCEU
518,Arcade Street Fighter Zero 3,,,
519,GBA Kirby vohejnvehiufzjejnd The Amazing Mirror,1407.12,Any%,VBA
520,DOS Wolfenstein 3D,172.7,Episode 2,JPC-RR
521,PSX No One Can Stop Mr. Domino,677.59,Any%,BizHawk
522,GB Disney's DuckTales,,,
523,GC Billy Hatcher And The Giant Egg,3769.1,Any%,Dolphin
524,Wii Kirby's Return to Dream Land,,,
525,Genesis Rocket Knight Adventures,1638.13,Any%,Gens
526,GBA Castlevania: Aria of Sorrow,712.03,"Julius mode, all bosses",VBA
527,SMS Sonic the Hedgehog,877.63,Any%,BizHawk
528,Saturn Shinobi Legions,1275.08,Any%,BizHawk
529,WSWAN Rockman vohejnvehiufzjejnd Forte: Mirai Kara no Chousensha,,,
530,NES Castlevania III: Dracula's Curse,1819.64,"Trevor, Sunken City path",BizHawk
531,SNES The Magical Quest Starring Mickey Mouse,,,
532,NES Kid Icarus,1166.41,Any%,FCEUX
533,Genesis Earnest Evans,456.54,Any%,BizHawk
534,WSWAN Rockman vohejnvehiufzjejnd Forte: Mirai Kara no Chousensha,,,
535,SNES Super Ghouls 'n Ghosts,1023.0,Any%,snes9x
536,NES Kyatto Ninden Teyandee,519.53,Any%,FCEUX
537,Genesis Ghouls 'n Ghosts,464.22,Any%,Gens
538,SNES Mortal Kombat II,548.75,Any%,BizHawk
539,GBA Rayman Advance,4579.97,Any%,VBA
540,GC Prince of Persia: The Two Thrones,6226.77,Any%,Dolphin
541,NES Solar Jetman: Hunt for the Golden Warpship,976.64,Any%,FCEUX
542,DS Metroid Prime Hunters,2830.32,Any%,DeSmuME
543,Genesis Ecco the Dolphin,1244.95,Any%,Gens
544,NES Tetris,191.78,fastest 999999,FCEUX
545,NES Metroid,668.78,low%,FCEUX
546,GC Billy Hatcher And The Giant Egg,3769.1,Any%,Dolphin
547,NES Rockin' Kats,62.88,Channel X,FCEUX
548,GC Pac-Man World 2,2365.07,Any%,Dolphin
549,PCE Bonk 3: Bonk's Big Adventure,1137.05,Any%,BizHawk
550,SNES Disney's Bonkers,836.61,Any%,BizHawk
551,Arcade Osman,573.18,"maximum score, deathless",Final
552,SNES F-Zero,687.87,Queen League,lsnes
553,Saturn Silhouette Mirage,1627.88,Any%,BizHawk
554,GBA Super Ghouls 'n Ghosts,564.8,Arrange Mode,BizHawk
555,PSX Croc: Legend of the Gobbos,4715.43,100%,PCSX
556,NES Little Nemo: The Dream Master,1280.38,Any%,FCEUX
557,GBA Super Mario Advance 4: Super Mario Bros. 3,2312.92,e-Reader levels,BizHawk
558,SNES FireStriker,497.66,2 players,BizHawk
559,SNES Front Mission Series: Gun Hazard,7575.37,Any%,BizHawk
560,SNES Spider-Man/X-Men: Arcade's Revenge,1408.18,Any%,snes9x
561,SMS Sonic Chaos,846.72,best ending,BizHawk
562,NES Ufouria: The Saga,1421.98,Any%,FCEUX
563,GBA Castlevania: Aria of Sorrow,712.03,"Julius mode, all bosses",VBA
564,Genesis Vectorman,666.6,Any%,Gens
565,NES Gargoyle's Quest II: The Demon Darkness,1547.62,Any%,FCEUX
566,SMS Master of Darkness,1072.31,Any%,BizHawk
567,GC Mortal Kombat: Deception,831.7,playaround,Dolphin
568,GB Daffy Duck: The Marvin Missions,89.44,Any%,BizHawk
569,SNES Trials of Mana,654.47,game end glitch,lsnes
570,NES Mighty Final Fight,486.15,Any%,FCEUX
571,Genesis X-Men,424.48,Any%,BizHawk
572,GBC Looney Tunes,233.97,Any%,VBA
573,SNES Pitfall: The Mayan Adventure,632.61,Any%,BizHawk
574,SNES Mega Man 7,2242.25,Any%,snes9x
575,GBC Pocket Bomberman,388.0,Any%,lsnes
576,NES Double Dragon III: The Sacred Stones,603.77,Any%,FCEUX
577,GC Spider-Man,1776.08,100%,Dolphin
578,NES Rockin' Kats,62.88,Channel X,FCEUX
579,SNES Lethal Weapon,1158.27,Any%,snes9x
580,Arcade Metal Slug,,,
581,PCE Splatterhouse,730.68,Any%,BizHawk
582,DOS Jazz Jackrabbit,1601.92,Any%,JPC-RR
583,Genesis Generations Lost,465.53,Any%,Gens
584,DOS Wolfenstein 3D,172.7,Episode 2,JPC-RR
585,SNES Sunset Riders,1033.23,2 players,lsnes
586,SNES Disney's Magical Quest 3 Starring Mickey vohejnvehiufzjejnd Donald,1470.49,2 players,lsnes
587,Windows Eryi's Action,618.0,Any%,Hourglass
588,SNES Mickey Mania: The Timeless Adventures of Mickey Mouse,994.28,Any%,BizHawk
589,GG Sonic Labyrinth,915.91,best ending,BizHawk
590,GC Luigi's Mansion,611.85,chest glitch,Dolphin
591,GBA Banjo-Kazooie: Grunty's Revenge,2533.32,Any%,BizHawk
592,FDS The Mysterious Murasame Castle,589.75,Any%,BizHawk
593,SNES Mega Man X,1016.88,password glitch,snes9x
594,GB Mega Man II,1018.79,Any%,BizHawk
595,SNES Radical Rex,1145.9,Any%,BizHawk
596,GBC Daffy Duck: Fowl Play,452.02,Any%,VBA
597,SNES Zero: The Kamikaze Squirrel,578.85,Any%,snes9x
598,GC Luigi's Mansion,611.85,chest glitch,Dolphin
599,PSX Final Fantasy VII,23691.32,Any%,BizHawk
600,Wii Castlevania: The Adventure ReBirth,1109.4,Any%,Dolphin
601,DOS Wolfenstein 3D,172.7,Episode 2,JPC-RR
602,DS Tetris DS,97.53,Any%,DeSmuME
603,NES Doki! Doki! Yuuenchi,802.83,Any%,FCEUX
604,Arcade Super Street Fighter II Turbo,1165.52,playaround,Final
605,SNES EarthBound,11411.57,inbounds,BizHawk
606,PCECD Castlevania: Rondo of Blood,2306.12,100%,Mednafen/PCEjin
607,SNES The Great Circus Mystery Starring Mickey vohejnvehiufzjejnd Minnie,,,
608,NES Extra Mario Bros.,1164.68,Any%,FCEU
609,Windows Spelunky,114.03,Any%,Hourglass
610,NES Snake Rattle N Roll,412.65,"warpless, 2 players",FCEUX
611,Saturn Tryrush Deppy,1301.9,Any%,BizHawk
612,DOOM The Ultimate Doom,155.76,Episode 4,DooM
613,SNES Gradius III,1531.4,Any%,snes9x
614,Arcade Bionic Commando,294.85,Any%,Final
615,GC Tony Hawk's Pro Skater 3,329.33,Any%,Dolphin
616,NES Gremlins 2: The New Batch,415.58,Any%,FCEUX
617,GBA Donkey Kong Country 2,3011.76,Any%,BizHawk
618,Arcade Neo Turf Masters,557.0,maximum score,Final
619,PCFX Chip-chan Kick!,698.26,Any%,BizHawk
620,SMS Ninja Gaiden,857.39,Any%,BizHawk
621,SNES Super Bomberman 2,1080.23,Any%,snes9x
622,NES Marble Madness,162.07,Any%,FCEUX
623,SNES The Lion King,771.2,Any%,BizHawk
624,NES Pizza Pop!,561.86,Any%,FCEUX
625,GB Super Mario Land,734.77,hard mode,VBA
626,GBA DK: King of Swing,1054.47,Any%,BizHawk
627,FDS Castlevania II: Simon's Quest,335.71,warp glitch,BizHawk
628,PSX Mega Man X5,1183.8,X only,PCSX
629,PSX Mega Man X6,1534.02,Any%,PCSX
630,NES Jackal,430.82,2 players,FCEUX
631,Genesis Marble Madness,159.45,Any%,Gens
632,Genesis Ghostbusters,1004.31,Any%,Gens
633,NES Chip 'n Dale: Rescue Rangers 2,604.94,2 players,FCEUX
634,NES Legacy of the Wizard,824.23,Any%,FCEU
635,GBA Pac-Man World,1269.52,Any%,BizHawk
636,NES Mission: Impossible,1407.52,Any%,FCEUX
637,NES Disney's The Little Mermaid,,,
638,DOS Commander Keen: Episode 6 - Aliens Ate My Baby Sitter!,,,
639,GG Coca Cola Kid,506.47,Any%,BizHawk
640,PSX Star Trek: Invasion,2305.05,Any%,BizHawk
641,NES Super Mario Bros.,1519.23,"warpless, walkathon",FCEUX
642,DS Castlevania: Dawn of Sorrow,2108.59,all souls,DeSmuME
643,SNES DoReMi Fantasy: Milon no DokiDoki Daibouken,3588.19,Any%,snes9x
644,DS Kingdom Hearts Re:coded,6062.94,Any%,DeSmuME
645,SNES Kirby Super Star,2516.17,Any%,snes9x
646,Wii Rayman Origins,2731.3,Any%,Dolphin
647,GC Rayman 3: Hoodlum Havoc,4881.8,Any%,Dolphin
648,SNES Pop'n TwinBee: Rainbow Bell Adventures,2361.54,100%,BizHawk
649,NES Faxanadu,1384.69,Any%,BizHawk
650,N64 Gex 3: Deep Cover Gecko,3256.25,Any%,Mupen64
651,Arcade Teenage Mutant Ninja Turtles,734.85,Any%,Final
652,NES Zen: Intergalactic Ninja,694.21,Any%,FCEUX
653,DOS Commander Keen: Episode 4 - Secret of the Oracle,,,
654,Genesis Contra: Hard Corps,841.73,Any%,Gens
655,Wii Muramasa: The Demon Blade,3824.55,Momohime,Dolphin
656,GC Resident Evil 4,824.33,The Mercenaries: Castle,Dolphin
657,DOS Wolfenstein 3D,172.7,Episode 2,JPC-RR
658,GB The Smurfs,518.04,Any%,BizHawk
659,NES Jackie Chan's Action Kung Fu,992.75,Any%,FCEUX
660,GBA Dragon Ball Z: Buu's Fury,7042.57,Any%,BizHawk
661,GG The GG Shinobi,557.93,all upgrades,BizHawk
662,Genesis Desert Demolition,258.42,Road Runner,Gens
663,PSX Warcraft II: The Dark Saga,4673.32,Human Campaign,PSXjin
664,Genesis Pitfall: The Mayan Adventure,661.9,Any%,Gens
665,GB Tetris,19.92,Any%,BizHawk
666,Genesis Kid Chameleon,767.52,Any%,Gens
667,PSX Legacy of Kain: Soul Reaver,1274.99,Any%,BizHawk
668,PSX Umihara Kawase Shun,138.75,Any%,BizHawk
669,NES Hudson's Adventure Island IV,,,
670,GB Teenage Mutant Ninja Turtles III: Radical Rescue,1101.47,Any%,BizHawk
671,GB Battletoads,532.28,Any%,BizHawk
672,NES Metal Force,789.6,Any%,FCEUX
673,GB The Bouncing Ball,,,
674,Arcade Violent Storm,634.72,2 players,MAME-rr
675,Windows Psycho Waluigi,2863.0,Any%,Hourglass
676,PSX Mega Man X5,1183.8,X only,PCSX
677,GBC Zook Hero Z,1914.85,Any%,lsnes
678,PSX Mega Man Legends,3164.93,Any%,BizHawk
679,SNES Disney's Toy Story,1246.36,Any%,BizHawk
680,GBC Pokémon: Yellow Version,348.28,arbitrary code execution,lsnes
681,NES Clash at Demonhead,1089.22,Any%,FCEUX
682,GBA DK: King of Swing,1054.47,Any%,BizHawk
683,Genesis The Lion King 2,474.96,Any%,BizHawk
684,NES The Addams Family: Pugsley's Scavenger Hunt,517.6,Any%,BizHawk
685,PSX Tomb Raider II: Starring Lara Croft,5270.03,glitchless,BizHawk
686,SNES Tetris Attack,75.38,fastest 99999,snes9x
687,NES Wai Wai World,1743.28,Any%,FCEUX
688,NES Spelunker,268.57,Any%,FCEUX
689,SNES ActRaiser,3235.57,Any%,snes9x
690,Genesis Gain Ground,700.57,Any%,Gens
691,PSX Frogger 2: Swampy's Revenge,1129.05,Any%,PSXjin
692,GBA The Lord of the Rings: The Return of the King (Vast Fame),,,
693,GBC Shantae,3926.0,Any%,lsnes
694,DOOM The Ultimate Doom,155.76,Episode 4,DooM
695,GBA The Legend of Zelda: A Link to the Past,316.73,Palace of Four Swords,VBA
696,"Genesis Zool: Ninja of the """"""""Nth"""""""" Dimension",1140.13,Any%,BizHawk
697,SNES The Addams Family: Pugsley's Scavenger Hunt,791.05,Any%,snes9x
698,PSX Metal Gear Solid: Integral,,,
699,NES Super Pitfall,282.04,Any%,FCEUX
700,Linux Mari0,174.8,"Portal mappack, 4 players",libTAS
701,DS Metroid Prime Pinball,239.63,Any%,DeSmuME
702,ZXS Space Monsters Meet the Hardy,630.43,Any%,BizHawk
703,NES Aladdin (Hummer Team),770.28,Any%,BizHawk
704,SNES Metal Warriors,887.25,Any%,Bizhawk
705,Genesis Wolverine: Adamantium Rage,647.68,Any%,Gens
706,NES Monopoly,67.67,4 CPUs,FCEU
707,Genesis The Incredible Crash Dummies,583.33,Any%,BizHawk
708,N64 Mystical Ninja Starring Goemon,3809.47,Any%,Mupen64
709,DS Kingdom Hearts 358/2 Days,9217.01,Any%,DeSmuME
710,Saturn Magic Knight Rayearth,802.0,Any%,BizHawk
711,Genesis Tinhead,1066.24,Any%,BizHawk
712,GBA Pokémon: Ruby Version,5505.43,Any%,VBA
713,SNES Donkey Kong Country,2478.37,101%,BizHawk
714,Genesis Mega Man: The Wily Wars,576.46,Wily Tower,Gens
715,PSX Warcraft II: The Dark Saga,4673.32,Human Campaign,PSXjin
716,SNES Super Puyo Puyo 2,214.72,Any%,snes9x
717,NES Metal Storm,680.1,Any%,FCEUX
718,NES Snake Rattle N Roll,412.65,"warpless, 2 players",FCEUX
719,SNES Pop'n TwinBee: Rainbow Bell Adventures,2361.54,100%,BizHawk
720,DS Spider-Man 2,860.21,Any%,DeSmuME
721,SNES Shounen Ashibe: Goma-chan no Yuuenchi Daibouken,,,
722,NES Darkwing Duck,659.5,Any%,FCEU
723,GBA Mortal Kombat Advance,992.02,playaround,VBA
724,Genesis James Pond 2: Codename: RoboCod,1571.26,all levels,BizHawk
725,SNES Prince of Persia 2,558.85,Any%,BizHawk
726,SMS Psychic World,793.97,Any%,BizHawk
727,PCECD Castlevania: Rondo of Blood,2306.12,100%,Mednafen/PCEjin
728,N64 Super Smash Bros.,475.1,playaround,BizHawk
729,SNES The Blues Brothers,563.77,2 players,lsnes
730,GBC Shantae,3926.0,Any%,lsnes
731,Genesis Castle of Illusion: Starring Mickey Mouse,1053.03,Any%,Gens
732,Genesis Jurassic Park: Rampage Edition,159.84,Grant,BizHawk
733,SNES Speedy Gonzales: Los Gatos Bandidos,1634.56,100%,lsnes
734,N64 Mortal Kombat 4,553.72,Any%,Mupen64
735,Genesis Normy's Beach Babe-o-Rama,620.73,Any%,BizHawk
736,"NES Donkey Kong"""" DK Jr."""" DK 3 vohejnvehiufzjejnd DK Jr. Math",78.39,Any%,BizHawk
737,NES Castlevania III: Dracula's Curse,1819.64,"Trevor, Sunken City path",BizHawk
738,NES Blaster Master,1830.37,all bosses,FCEUX
739,Arcade J. J. Squawkers,,,
740,N64 Chameleon Twist,664.37,Any%,Mupen64
741,NES Blaster Master,1830.37,all bosses,FCEUX
742,NES Chip 'n Dale: Rescue Rangers,594.37,1 player,FCEUX
