game,category,game+category,TAS_time(seconds),emulator
Windows Cave Story,best ending,Windows Cave Story - best ending,3010.3,Hourglass
Genesis Knuckles in Sonic the Hedgehog 2,ring attack,Genesis Knuckles in Sonic the Hedgehog 2 - ring attack,2701.63,Gens
Windows VVVVVV,game end glitch,Windows VVVVVV - game end glitch,45.33,Hourglass
Arcade Final Fight,Any%,Arcade Final Fight - Any%,811.15,Final
Windows I Wanna Be The Boshy,,Windows I Wanna Be The Boshy - ,,
SNES Super Demo World: The Legend Continues,warps,SNES Super Demo World: The Legend Continues - warps,1012.9,lsnes
NES Super Mario Bros. 3,arbitrary code execution,NES Super Mario Bros. 3 - arbitrary code execution,496.23,FCEUX
N64 The Legend of Zelda: Ocarina of Time,All Dungeons Temples & Ganon Trials,N64 The Legend of Zelda: Ocarina of Time - All Dungeons Temples & Ganon Trials,6149.53,Mupen64
NES Metroid,low%,NES Metroid - low%,668.78,FCEUX
PSX Rayman,Any%,PSX Rayman - Any%,3798.69,BizHawk
N64 Super Mario 64,70 stars no Backwards Long Jump,N64 Super Mario 64 - 70 stars no Backwards Long Jump,2578.52,Mupen64
N64 Bomberman 64,Any%,N64 Bomberman 64 - Any%,1418.55,Mupen64
GBA Dragon Ball: Advanced Adventure,Any%,GBA Dragon Ball: Advanced Adventure - Any%,1947.56,BizHawk
SNES The Legend of Zelda: A Link to the Past,Any%,SNES The Legend of Zelda: A Link to the Past - Any%,4571.05,snes9x
NES Super Mario Bros. 2,warps,NES Super Mario Bros. 2 - warps,461.16,FCEUX
GC Super Monkey Ball,Expert through Master,GC Super Monkey Ball - Expert through Master,775.18,Dolphin
GBA Sonic Advance 2,Knuckles,GBA Sonic Advance 2 - Knuckles,1232.08,VBA
NES Mega Man 2,zipless,NES Mega Man 2 - zipless,1636.17,FCEUX
Genesis Donald in Maui Mallard,,Genesis Donald in Maui Mallard - ,,
Genesis Sonic 3 & Knuckles,Knuckles,Genesis Sonic 3 & Knuckles - Knuckles,1327.68,Gens
NES Battletoads,warpless 1 player,NES Battletoads - warpless 1 player,1298.38,FCEUX
NES Arkanoid,warpless,NES Arkanoid - warpless,671.18,BizHawk
NES Dragon Warrior,Any%,NES Dragon Warrior - Any%,1019.57,FCEUX
PSX Castlevania: Symphony of the Night,pacifist low level,PSX Castlevania: Symphony of the Night - pacifist low level,1268.62,PSXjin
Genesis Sonic 3 & Knuckles,Knuckles,Genesis Sonic 3 & Knuckles - Knuckles,1327.68,Gens
NES Ninja Gaiden,Any%,NES Ninja Gaiden - Any%,650.36,FCEUX
SNES Super Mario World,all 96 exits,SNES Super Mario World - all 96 exits,4477.63,snes9x
Linux Axiom Verge,Any%,Linux Axiom Verge - Any%,1488.86,libTAS
NES The Krion Conquest,Any%,NES The Krion Conquest - Any%,732.74,FCEUX
NES Super Mario Bros. 3,arbitrary code execution,NES Super Mario Bros. 3 - arbitrary code execution,496.23,FCEUX
Genesis The Lost Vikings,Any%,Genesis The Lost Vikings - Any%,1649.34,Gens
SNES Super Mario All-Stars: The Lost Levels,warpless Mario,SNES Super Mario All-Stars: The Lost Levels - warpless Mario,2076.61,BizHawk
SNES Kirby's Dream Land 3,best ending,SNES Kirby's Dream Land 3 - best ending,3841.22,BizHawk
GBA Ninja Five-O,Any%,GBA Ninja Five-O - Any%,966.98,BizHawk
GBA Metroid: Zero Mission,low%,GBA Metroid: Zero Mission - low%,2082.27,VBA
SNES Super Metroid,Any%,SNES Super Metroid - Any%,2158.31,lsnes
SNES The Mask,Any%,SNES The Mask - Any%,326.55,lsnes
GBA Metroid Fusion,Any%,GBA Metroid Fusion - Any%,4339.31,BizHawk
N64 Paper Mario,All Cards,N64 Paper Mario - All Cards,9033.83,BizHawk
SNES International Superstar Soccer Deluxe,playaround,SNES International Superstar Soccer Deluxe - playaround,924.38,snes9x
GC Super Smash Bros. Melee,Adventure Mode,GC Super Smash Bros. Melee - Adventure Mode,522.75,Dolphin
Linux Shovel Knight,King of Cards,Linux Shovel Knight - King of Cards,1630.67,libTAS
GBA Castlevania: Aria of Sorrow,Julius mode all bosses,GBA Castlevania: Aria of Sorrow - Julius mode all bosses,712.03,VBA
PSX Castlevania: Symphony of the Night,pacifist low level,PSX Castlevania: Symphony of the Night - pacifist low level,1268.62,PSXjin
NES Super Mario Bros.,warpless walkathon,NES Super Mario Bros. - warpless walkathon,1519.23,FCEUX
GBA Metroid: Zero Mission,low%,GBA Metroid: Zero Mission - low%,2082.27,VBA
PSX Castlevania: Symphony of the Night,pacifist low level,PSX Castlevania: Symphony of the Night - pacifist low level,1268.62,PSXjin
SNES Kaizo Mario World 3,Any%,SNES Kaizo Mario World 3 - Any%,1031.23,snes9x
GBA Castlevania: Harmony of Dissonance,Simon Hard Boss Rush,GBA Castlevania: Harmony of Dissonance - Simon Hard Boss Rush,471.27,VBA
GC Paper Mario: The Thousand-Year Door,Any%,GC Paper Mario: The Thousand-Year Door - Any%,6429.03,Dolphin
Linux SteamWorld Dig 2,Any%,Linux SteamWorld Dig 2 - Any%,1091.87,libTAS
NES Super C,2 players,NES Super C - 2 players,685.49,FCEUX
SNES Mega Man X2,100%,SNES Mega Man X2 - 100%,1977.64,BizHawk
GBA Sonic Advance,Amy,GBA Sonic Advance - Amy,925.8,VBA
SNES Ultimate Mortal Kombat 3,playaround,SNES Ultimate Mortal Kombat 3 - playaround,1828.38,snes9x
NES Super Mario Bros. 2,warps,NES Super Mario Bros. 2 - warps,461.16,FCEUX
Genesis Sonic the Hedgehog 2,Any%,Genesis Sonic the Hedgehog 2 - Any%,1060.08,Gens
NES Zelda II: The Adventure of Link,warp glitch,NES Zelda II: The Adventure of Link - warp glitch,331.89,BizHawk
SNES Metroid Super ZeroMission,101%,SNES Metroid Super ZeroMission - 101%,4770.64,snes9x
NES Teenage Mutant Ninja Turtles,Any%,NES Teenage Mutant Ninja Turtles - Any%,944.93,BizHawk
NES Mega Man,Any%,NES Mega Man - Any%,585.35,FCEUX
SNES Family Feud,playaround,SNES Family Feud - playaround,406.28,snes9x
Genesis Knuckles in Sonic the Hedgehog,no zips,Genesis Knuckles in Sonic the Hedgehog - no zips,904.28,Gens
NES Gimmick!,Any%,NES Gimmick! - Any%,264.61,FCEUX
N64 Super Smash Bros.,playaround,N64 Super Smash Bros. - playaround,475.1,BizHawk
Genesis Sonic the Hedgehog,no zips,Genesis Sonic the Hedgehog - no zips,1056.58,Gens
SNES Super Mario World 2: Yoshi's Island,100%,SNES Super Mario World 2: Yoshi's Island - 100%,7175.12,snes9x
SNES Mega Man X2,100%,SNES Mega Man X2 - 100%,1977.64,BizHawk
SNES Mega Man X,password glitch,SNES Mega Man X - password glitch,1016.88,snes9x
SNES Super Mario All-Stars: Super Mario Bros. 2,Any%,SNES Super Mario All-Stars: Super Mario Bros. 2 - Any%,436.46,BizHawk
Genesis Michael Jackson's Moonwalker,,Genesis Michael Jackson's Moonwalker - ,,
Genesis Disney's Aladdin,,Genesis Disney's Aladdin - ,,
SMS Lord of the Sword,Any%,SMS Lord of the Sword - Any%,814.82,BizHawk
DS Castlevania: Portrait of Ruin,Richter mode,DS Castlevania: Portrait of Ruin - Richter mode,1017.28,DeSmuME
NES Castlevania,pacifist minimalist,NES Castlevania - pacifist minimalist,667.52,BizHawk
NES The Legend of Zelda,2nd quest,NES The Legend of Zelda - 2nd quest,1499.83,FCEUX
GC Sonic Adventure DX: Director's Cut,Tails,GC Sonic Adventure DX: Director's Cut - Tails,1374.02,Dolphin
GB Mega Man V,Any%,GB Mega Man V - Any%,2361.26,BizHawk
N64 Banjo-Kazooie,100%,N64 Banjo-Kazooie - 100%,7191.92,BizHawk
Linux Braid,,Linux Braid - ,,
PSX Crash Team Racing,Any%,PSX Crash Team Racing - Any%,2704.34,BizHawk
NES Chip 'n Dale: Rescue Rangers 2,2 players,NES Chip 'n Dale: Rescue Rangers 2 - 2 players,604.94,FCEUX
GC Tony Hawk's Underground,Any%,GC Tony Hawk's Underground - Any%,2651.8,Dolphin
GC Resident Evil 4,The Mercenaries: Castle,GC Resident Evil 4 - The Mercenaries: Castle,824.33,Dolphin
NES Castlevania III: Dracula's Curse,Trevor Sunken City path,NES Castlevania III: Dracula's Curse - Trevor Sunken City path,1819.64,BizHawk
GC Sonic Heroes,Team Sonic,GC Sonic Heroes - Team Sonic,2161.23,Dolphin
GBA Double Dragon Advance,,GBA Double Dragon Advance - ,,
NES Contra,2 players,NES Contra - 2 players,517.76,FCEUX
GBA Turok: Evolution,Any%,GBA Turok: Evolution - Any%,1124.83,BizHawk
Genesis Contra: Hard Corps,Any%,Genesis Contra: Hard Corps - Any%,841.73,Gens
GB Donkey Kong,,GB Donkey Kong - ,,
Genesis Sonic 3 & Knuckles,Knuckles,Genesis Sonic 3 & Knuckles - Knuckles,1327.68,Gens
GBA Kao the Kangaroo,Any%,GBA Kao the Kangaroo - Any%,852.3,BizHawk
SNES Super Mario All-Stars: Super Mario Bros. 3,playaround,SNES Super Mario All-Stars: Super Mario Bros. 3 - playaround,4006.28,snes9x
PSX Mega Man X6,100%,PSX Mega Man X6 - 100%,3407.18,PCSX
FDS Arumana no Kiseki,Any%,FDS Arumana no Kiseki - Any%,483.6,FCEUX
NES Super Mario Bros.,warpless walkathon,NES Super Mario Bros. - warpless walkathon,1519.23,FCEUX
GB Contra: The Alien Wars,pacifist,GB Contra: The Alien Wars - pacifist,471.44,BizHawk
Wii Mega Man 9,Any%,Wii Mega Man 9 - Any%,1820.98,Dolphin
GBA Sonic Advance,Amy,GBA Sonic Advance - Amy,925.8,VBA
GC Ikaruga,maximum score,GC Ikaruga - maximum score,1289.4,Dolphin
Wii Mega Man 10,Bass Hard Mode,Wii Mega Man 10 - Bass Hard Mode,1698.25,Dolphin
SNES Chrono Trigger,completionist,SNES Chrono Trigger - completionist,20698.18,snes9x
Genesis Castlevania: Bloodlines,Eric Lecarde,Genesis Castlevania: Bloodlines - Eric Lecarde,1661.93,Gens
Genesis X-Men 2: Clone Wars,Any%,Genesis X-Men 2: Clone Wars - Any%,958.99,BizHawk
SNES Mega Man X & Mega Man X2 & Mega Man X3,300%,SNES Mega Man X & Mega Man X2 & Mega Man X3 - 300%,2631.02,snes9x
Genesis Comix Zone,Any%,Genesis Comix Zone - Any%,518.67,Gens
GBC The Legend of Zelda: Oracle of Seasons,Any%,GBC The Legend of Zelda: Oracle of Seasons - Any%,5157.22,VBA
NES Mega Man 5,Any%,NES Mega Man 5 - Any%,1901.68,FCEUX
SNES Mega Man X,password glitch,SNES Mega Man X - password glitch,1016.88,snes9x
Linux Shovel Knight,King of Cards,Linux Shovel Knight - King of Cards,1630.67,libTAS
Arcade Metal Slug X,Any%,Arcade Metal Slug X - Any%,1112.2,Final
GBA Mega Man Zero,all missions,GBA Mega Man Zero - all missions,2023.26,BizHawk
Genesis Tails in Sonic The Hedgehog,Any%,Genesis Tails in Sonic The Hedgehog - Any%,801.87,Gens
Genesis Knuckles in Sonic the Hedgehog 2,ring attack,Genesis Knuckles in Sonic the Hedgehog 2 - ring attack,2701.63,Gens
NES Castlevania III: Dracula's Curse,Trevor Sunken City path,NES Castlevania III: Dracula's Curse - Trevor Sunken City path,1819.64,BizHawk
DS Castlevania: Order of Ecclesia,Any%,DS Castlevania: Order of Ecclesia - Any%,2078.32,DeSmuME
Linux Shovel Knight,King of Cards,Linux Shovel Knight - King of Cards,1630.67,libTAS
GBA The Legend of Zelda: The Minish Cap,Any%,GBA The Legend of Zelda: The Minish Cap - Any%,6002.18,VBA
N64 The Legend of Zelda: Majora's Mask,low%,N64 The Legend of Zelda: Majora's Mask - low%,7141.88,BizHawk
GC Super Monkey Ball 2,Expert through Master Extra,GC Super Monkey Ball 2 - Expert through Master Extra,863.02,Dolphin
GBA Mega Man Zero 2,Any%,GBA Mega Man Zero 2 - Any%,2987.57,BizHawk
PCE Genpei Touma Den,Any%,PCE Genpei Touma Den - Any%,474.06,BizHawk
GB The Legend of Zelda: Link's Awakening,Any%,GB The Legend of Zelda: Link's Awakening - Any%,228.55,VBA
NES Tiny Toon Adventures,Any%,NES Tiny Toon Adventures - Any%,659.88,BizHawk
GBA Castlevania: Harmony of Dissonance,Simon Hard Boss Rush,GBA Castlevania: Harmony of Dissonance - Simon Hard Boss Rush,471.27,VBA
SNES Contra III: The Alien Wars,pacifist,SNES Contra III: The Alien Wars - pacifist,845.31,snes9x
PSX Castlevania: Symphony of the Night,pacifist low level,PSX Castlevania: Symphony of the Night - pacifist low level,1268.62,PSXjin
Genesis Gunstar Heroes,Any%,Genesis Gunstar Heroes - Any%,1860.33,BizHawk
Genesis Tiny Toon Adventures: Buster's Hidden Treasure,all levels,Genesis Tiny Toon Adventures: Buster's Hidden Treasure - all levels,1614.7,Gens
SNES Super Mario Kart,Any%,SNES Super Mario Kart - Any%,1287.02,snes9x
GBA Castlevania: Aria of Sorrow,Julius mode all bosses,GBA Castlevania: Aria of Sorrow - Julius mode all bosses,712.03,VBA
NES Super C,2 players,NES Super C - 2 players,685.49,FCEUX
Genesis Castlevania: Bloodlines,Eric Lecarde,Genesis Castlevania: Bloodlines - Eric Lecarde,1661.93,Gens
Genesis Streets of Rage 2,Any%,Genesis Streets of Rage 2 - Any%,1378.57,Gens
GBA LEGO Bionicle,Any%,GBA LEGO Bionicle - Any%,427.16,BizHawk
PCE Bonk's Revenge,Any%,PCE Bonk's Revenge - Any%,969.63,BizHawk
PSX Tomb Raider: The Last Revelation,Any%,PSX Tomb Raider: The Last Revelation - Any%,3743.4,BizHawk
SNES Sparkster,Any%,SNES Sparkster - Any%,1081.67,snes9x
N64 Super Smash Bros.,playaround,N64 Super Smash Bros. - playaround,475.1,BizHawk
PSX Crash Bandicoot: Warped,Any%,PSX Crash Bandicoot: Warped - Any%,2340.52,BizHawk
PSX Mega Man 8,Any%,PSX Mega Man 8 - Any%,2826.23,PCSX
PSX Crash Bandicoot: Warped,Any%,PSX Crash Bandicoot: Warped - Any%,2340.52,BizHawk
GB Pac-In-Time,Any%,GB Pac-In-Time - Any%,1651.45,BizHawk
Linux Shovel Knight,King of Cards,Linux Shovel Knight - King of Cards,1630.67,libTAS
N64 Chameleon Twist 2,Any%,N64 Chameleon Twist 2 - Any%,1317.27,Mupen64
NES Gimmick!,Any%,NES Gimmick! - Any%,264.61,FCEUX
NES Mega Man 3,Any%,NES Mega Man 3 - Any%,1821.08,FCEUX
GBA Wario Land 4,Any%,GBA Wario Land 4 - Any%,2404.88,VBA
Arcade Tetris the Absolute: The Grand Master 2 Plus,T.A. Death,Arcade Tetris the Absolute: The Grand Master 2 Plus - T.A. Death,200.02,MAME-rr
Wii Mega Man 10,Bass Hard Mode,Wii Mega Man 10 - Bass Hard Mode,1698.25,Dolphin
NES Donald Land,Any%,NES Donald Land - Any%,516.13,BizHawk
NES Gradius,Any%,NES Gradius - Any%,652.35,FCEU
GC 007: Agent Under Fire,00 Agent,GC 007: Agent Under Fire - 00 Agent,2210.07,Dolphin
SNES Super Turrican,Any%,SNES Super Turrican - Any%,472.06,BizHawk
FDS Super Mario Bros. 2,warps Mario,FDS Super Mario Bros. 2 - warps Mario,484.83,FCEUX
Genesis Sonic 3 & Knuckles,Knuckles,Genesis Sonic 3 & Knuckles - Knuckles,1327.68,Gens
PSX Mega Man X6,100%,PSX Mega Man X6 - 100%,3407.18,PCSX
GBA Mario & Luigi: Superstar Saga,Any%,GBA Mario & Luigi: Superstar Saga - Any%,3559.35,BizHawk
SNES Mega Man X3,100%,SNES Mega Man X3 - 100%,2536.24,BizHawk
GBA Ty the Tasmanian Tiger 2: Bush Rescue,Any%,GBA Ty the Tasmanian Tiger 2: Bush Rescue - Any%,898.41,BizHawk
SNES Super Castlevania IV,Any%,SNES Super Castlevania IV - Any%,1778.08,snes9x
GBA Zook Man ZX4,Any%,GBA Zook Man ZX4 - Any%,1231.36,BizHawk
GBA Super Mario Advance 4: Super Mario Bros. 3,e-Reader levels,GBA Super Mario Advance 4: Super Mario Bros. 3 - e-Reader levels,2312.92,BizHawk
GBA Castlevania: Circle of the Moon,warp glitch,GBA Castlevania: Circle of the Moon - warp glitch,319.25,VBA
DS Brain Age,playaround,DS Brain Age - playaround,393.66,DeSmuME
NES Battletoads,game end glitch,NES Battletoads - game end glitch,55.66,BizHawk
N64 GoldenEye 007,Any%,N64 GoldenEye 007 - Any%,1842.48,Mupen64
NES Dragon Warrior III,item glitch,NES Dragon Warrior III - item glitch,2469.52,FCEUX
NES Excitebike,Any%,NES Excitebike - Any%,329.44,FCEUX
NES The Legend of Zelda,2nd quest,NES The Legend of Zelda - 2nd quest,1499.83,FCEUX
GC Tony Hawk's Underground 2,Classic - Normal,GC Tony Hawk's Underground 2 - Classic - Normal,224.48,Dolphin
PSX Spyro: Year of the Dragon,117%,PSX Spyro: Year of the Dragon - 117%,8874.15,PSXjin
GC Sonic Adventure 2: Battle,Hero Story,GC Sonic Adventure 2: Battle - Hero Story,1632.38,Dolphin
NES Ninja Gaiden II: The Dark Sword of Chaos,Any%,NES Ninja Gaiden II: The Dark Sword of Chaos - Any%,552.17,FCEUX
NES Hard Relay Mario,Any%,NES Hard Relay Mario - Any%,494.95,FCEUX
Linux VVVVVV,Any%,Linux VVVVVV - Any%,349.86,libTAS
NES Batman,Any%,NES Batman - Any%,553.9,FCEUX
N64 Paper Mario,All Cards,N64 Paper Mario - All Cards,9033.83,BizHawk
SegaCD Sonic the Hedgehog Megamix,Any%,SegaCD Sonic the Hedgehog Megamix - Any%,832.91,Gens
Wii GoldenEye: 007,007 Classic difficulty,Wii GoldenEye: 007 - 007 Classic difficulty,6095.67,Dolphin
DS Super Mario 64 DS,Any%,DS Super Mario 64 DS - Any%,492.93,DeSmuME
NES Battletoads & Double Dragon: The Ultimate Team,2 players,NES Battletoads & Double Dragon: The Ultimate Team - 2 players,987.56,FCEUX
Wii Namco Museum Megamix,Pac'n Roll Remix,Wii Namco Museum Megamix - Pac'n Roll Remix,921.02,Dolphin
SNES EarthBound,Any%,SNES EarthBound - Any%,3437.02,BizHawk
NES Mega Man 4 Voyage,Any%,NES Mega Man 4 Voyage - Any%,2386.94,FCEUX
NES Metroid,100%,NES Metroid - 100%,2005.7,FCEUX
SMS Castle of Illusion: Starring Mickey Mouse,Any%,SMS Castle of Illusion: Starring Mickey Mouse - Any%,706.53,BizHawk
SNES Umihara Kawase,Any%,SNES Umihara Kawase - Any%,106.42,snes9x
SMS Sonic the Hedgehog,Max Special Bonus,SMS Sonic the Hedgehog - Max Special Bonus,1227.28,BizHawk
Arcade Metal Slug 4,best ending,Arcade Metal Slug 4 - best ending,1031.97,Final
NES Super C,2 players,NES Super C - 2 players,685.49,FCEUX
DS Castlevania: Dawn of Sorrow,all souls,DS Castlevania: Dawn of Sorrow - all souls,2108.59,DeSmuME
NES Double Dragon II: The Revenge,1 player,NES Double Dragon II: The Revenge - 1 player,557.78,FCEUX
N64 Donkey Kong 64,Any%,N64 Donkey Kong 64 - Any%,1606.83,BizHawk
Wii New Super Mario Bros. Wii,100%,Wii New Super Mario Bros. Wii - 100%,10713.27,Dolphin
NES Zelda II: The Adventure of Link,warp glitch,NES Zelda II: The Adventure of Link - warp glitch,331.89,BizHawk
NES Tetris,fastest 999999,NES Tetris - fastest 999999,191.78,FCEUX
NES Little Samson,warps,NES Little Samson - warps,492.79,FCEUX
Linux Undertale,Genocide ending,Linux Undertale - Genocide ending,3490.93,libTAS
SNES Hagane: The Final Conflict,,SNES Hagane: The Final Conflict - ,,
GB Castlevania II: Belmont's Revenge,Any%,GB Castlevania II: Belmont's Revenge - Any%,1481.18,BizHawk
NES Ninja Gaiden III: The Ancient Ship of Doom,Any%,NES Ninja Gaiden III: The Ancient Ship of Doom - Any%,668.73,FCEUX
NES River City Ransom,2 players,NES River City Ransom - 2 players,356.76,FCEUX
DS Castlevania: Order of Ecclesia,Any%,DS Castlevania: Order of Ecclesia - Any%,2078.32,DeSmuME
Linux Undertale,Genocide ending,Linux Undertale - Genocide ending,3490.93,libTAS
Wii New Super Mario Bros. Wii,100%,Wii New Super Mario Bros. Wii - 100%,10713.27,Dolphin
GC The Legend of Zelda: Twilight Princess,Any%,GC The Legend of Zelda: Twilight Princess - Any%,9886.77,Dolphin
Arcade Marvel vs. Capcom,Any%,Arcade Marvel vs. Capcom - Any%,1537.7,Final
NES Crystalis,Any%,NES Crystalis - Any%,2440.43,FCEUX
GBA Prince of Persia: The Sands of Time,100%,GBA Prince of Persia: The Sands of Time - 100%,4456.72,BizHawk
GB Mega Man IV,Any%,GB Mega Man IV - Any%,2095.45,BizHawk
SMS Land of Illusion: Starring Mickey Mouse,Any%,SMS Land of Illusion: Starring Mickey Mouse - Any%,1368.28,BizHawk
DS Spider-Man: Shattered Dimensions,all items,DS Spider-Man: Shattered Dimensions - all items,2060.91,DeSmuME
PSX Strider 2,Any%,PSX Strider 2 - Any%,518.6,BizHawk
PSX Tomb Raider,Any%,PSX Tomb Raider - Any%,3139.45,BizHawk
Windows Hyper Princess Pitch,Reallyjoel's Mom difficulty best ending,Windows Hyper Princess Pitch - Reallyjoel's Mom difficulty best ending,940.48,Hourglass
SNES Super Punch-Out!!,Any%,SNES Super Punch-Out!! - Any%,952.66,Bizhawk
SNES Donkey Kong Country,all stages walkathon,SNES Donkey Kong Country - all stages walkathon,2469.1,BizHawk
FDS The Legend of Zelda,2nd quest game end glitch,FDS The Legend of Zelda - 2nd quest game end glitch,186.46,FCEUX
