game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher
Donkey Konga,All The Small Things%,Donkey Konga - All The Small Things%,169,2003,18,8,GameCube,Rhythm,,Namco,Nintendo
Donkey Konga,The Impression That I Get%,Donkey Konga - The Impression That I Get%,158,2003,18,4,GameCube,Rhythm,,Namco,Nintendo
Donkey Konga,On the Road Again%,Donkey Konga - On the Road Again%,150,2003,18,3,GameCube,Rhythm,,Namco,Nintendo
Donkey Kong Country,All Stages,Donkey Kong Country - All Stages,1857,1994,27,261,Super Nintendo,Platformer,,Rare,Nintendo
Donkey Kong Country,101%,Donkey Kong Country - 101%,2708,1994,27,67,Super Nintendo,Platformer,,Rare,Nintendo
Donkey Kong Country,Any%,Donkey Kong Country - Any%,450.333,1994,27,89,Super Nintendo,Platformer,,Rare,Nintendo
Donkey Kong Country,Old Summon,Donkey Kong Country - Old Summon,929.19,1994,27,52,Super Nintendo,Platformer,,Rare,Nintendo
Donkey Kong Country,No Major Skips,Donkey Kong Country - No Major Skips,2432,1994,27,29,Super Nintendo,Platformer,,Rare,Nintendo
Donkey Kong Country,No Major Glitches,Donkey Kong Country - No Major Glitches,2047.617,1994,27,33,Super Nintendo,Platformer,,Rare,Nintendo
Donkey Kong Country,RBO,Donkey Kong Country - RBO,1646,1994,27,14,Super Nintendo,Platformer,,Rare,Nintendo
Shadow Dancer: The Secret of Shinobi,Any% NoSEB,Shadow Dancer: The Secret of Shinobi - Any% NoSEB,729.46,1990,31,11,Wii Virtual Console,,,,
Shadow Dancer: The Secret of Shinobi,Any% Shu,Shadow Dancer: The Secret of Shinobi - Any% Shu,737,1990,31,12,Wii Virtual Console,,,,
The Revenge of Shinobi,Any%,The Revenge of Shinobi - Any%,753.52,1989,32,17,Wii Virtual Console,,,,
Little Nemo: The Dream Master,English,Little Nemo: The Dream Master - English,1381,1990,31,38,Nintendo Entertainment System,Platformer,,Capcom,Capcom
Little Nemo: The Dream Master,Japanese,Little Nemo: The Dream Master - Japanese,1316,1990,31,6,Nintendo Entertainment System,Platformer,,Capcom,Capcom
California Games 2,All events,California Games 2 - All events,73,1990,31,9,Super Nintendo,,,,
Valkyrie Profile,Any% Ending A,Valkyrie Profile - Any% Ending A,8603,1999,22,4,PlayStation,JRPG,,,
Valkyrie Profile,Any% Ending B,Valkyrie Profile - Any% Ending B,3012,1999,22,7,PlayStation,JRPG,,,
Valkyrie Profile,100%,Valkyrie Profile - 100%,15358,1999,22,3,PlayStation,JRPG,,,
Valkyrie Profile,Seraphic Gate,Valkyrie Profile - Seraphic Gate,784,1999,22,1,PlayStation,JRPG,,,
Valkyrie Profile,SRAM Glitch C Ending,Valkyrie Profile - SRAM Glitch C Ending,1869,1999,22,2,PlayStation,JRPG,,,
Tiny Toon Adventures: Buster Busts Loose!,Any% (Normal),Tiny Toon Adventures: Buster Busts Loose! - Any% (Normal),1237,1992,29,17,Super Nintendo,,,,
Tiny Toon Adventures: Buster Busts Loose!,Any% (Easy),Tiny Toon Adventures: Buster Busts Loose! - Any% (Easy),448,1992,29,16,Super Nintendo,,,,
Tiny Toon Adventures: Buster Busts Loose!,Any% (Hard),Tiny Toon Adventures: Buster Busts Loose! - Any% (Hard),1689,1992,29,1,Super Nintendo,,,,
Ninja Gaiden II: The Dark Sword of Chaos,Any%,Ninja Gaiden II: The Dark Sword of Chaos - Any%,595.9,1990,31,102,Nintendo Entertainment System,,,,
Ninja Gaiden II: The Dark Sword of Chaos,Low%,Ninja Gaiden II: The Dark Sword of Chaos - Low%,771,1990,31,1,Nintendo Entertainment System,,,,
Ninja Gaiden II: The Dark Sword of Chaos,Pacifist,Ninja Gaiden II: The Dark Sword of Chaos - Pacifist,855,1990,31,5,Nintendo Entertainment System,,,,
Super Smash Bros.,Unlock All Characters,Super Smash Bros. - Unlock All Characters,1544.81,1999,22,26,Nintendo 64,Fighting,,HAL Laboratory,Nintendo
Super Smash Bros.,All Bonuses,Super Smash Bros. - All Bonuses,600.75,1999,22,12,Nintendo 64,Fighting,,HAL Laboratory,Nintendo
Digimon World,No Major Glitches,Digimon World - No Major Glitches,3828,1999,22,33,PlayStation 2,,,,
Digimon World,Any%,Digimon World - Any%,809,1999,22,4,PlayStation 2,,,,
Digimon World,100 Prosperity Points,Digimon World - 100 Prosperity Points,5577,1999,22,4,PlayStation 2,,,,
King's Quest: Quest for the Crown,Any%,King's Quest: Quest for the Crown - Any%,67,1983,38,9,MS-DOS,,,,
King's Quest: Quest for the Crown,100%,King's Quest: Quest for the Crown - 100%,259,1983,38,3,MS-DOS,,,,
King's Quest: Quest for the Crown,ScummVM,King's Quest: Quest for the Crown - ScummVM,179,1983,38,5,MS-DOS,,,,
Tony Hawk's Pro Skater,Any%,Tony Hawk's Pro Skater - Any%,270.5,1999,22,27,Nintendo 64,Skateboarding,,Neversoft,Activision
Tony Hawk's Pro Skater,0%,Tony Hawk's Pro Skater - 0%,106,1999,22,2,Nintendo 64,Skateboarding,,Neversoft,Activision
Tony Hawk's Pro Skater,100%,Tony Hawk's Pro Skater - 100%,364.533,1999,22,43,Nintendo 64,Skateboarding,,Neversoft,Activision
Ristar,Any%,Ristar - Any%,1624,1995,26,29,GameCube,,,,
Ristar,100%,Ristar - 100%,2032,1995,26,9,GameCube,,,,
Super Mario Bros.,Any%,Super Mario Bros. - Any%,294.948,1985,36,1316,Nintendo Entertainment System,Platformer,,Nintendo,Nintendo
Super Mario Bros.,Warpless,Super Mario Bros. - Warpless,1137.926,1985,36,294,Nintendo Entertainment System,Platformer,,Nintendo,Nintendo
Ehrgeiz: God Bless The Ring,Arcade,Ehrgeiz: God Bless The Ring - Arcade,0,1998,23,18,Arcade,Fighting,,Dream Factory,Squaresoft
Ehrgeiz: God Bless The Ring,Battle Beach,Ehrgeiz: God Bless The Ring - Battle Beach,0,1998,23,10,Arcade,Fighting,,Dream Factory,Squaresoft
Ehrgeiz: God Bless The Ring,Brand New Quest,Ehrgeiz: God Bless The Ring - Brand New Quest,953,1998,23,6,Arcade,Fighting,,Dream Factory,Squaresoft
Earthworm Jim 2,Any%,Earthworm Jim 2 - Any%,1341,1995,26,13,Super Nintendo,,,,
Earthworm Jim 2,All Flags,Earthworm Jim 2 - All Flags,1759,1995,26,2,Super Nintendo,,,,
Crash Bandicoot 2: Cortex Strikes Back,100%,Crash Bandicoot 2: Cortex Strikes Back - 100%,4183,1997,24,118,PlayStation 2,,,Naughty Dog,
Crash Bandicoot 2: Cortex Strikes Back,Any% (No Game Over Abuse),Crash Bandicoot 2: Cortex Strikes Back - Any% (No Game Over Abuse),2339,1997,24,221,PlayStation 2,,,Naughty Dog,
Crash Bandicoot 2: Cortex Strikes Back,Any% (Game Over Abuse),Crash Bandicoot 2: Cortex Strikes Back - Any% (Game Over Abuse),2237,1997,24,34,PlayStation 2,,,Naughty Dog,
Crash Bandicoot 2: Cortex Strikes Back,Any%,Crash Bandicoot 2: Cortex Strikes Back - Any%,714,1997,24,31,PlayStation 2,,,Naughty Dog,
King's Quest V: Absence Makes the Heart Go Yonder!,Any%,King's Quest V: Absence Makes the Heart Go Yonder! - Any%,1462,1990,31,15,PC,,,,
King's Quest V: Absence Makes the Heart Go Yonder!,All Deaths,King's Quest V: Absence Makes the Heart Go Yonder! - All Deaths,3191,1990,31,1,PC,,,,
Blood Omen : Legacy of Kain,Any%,Blood Omen : Legacy of Kain - Any%,1196,1996,25,2,,,,,
