game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher
Donkey Kong Country 2 (GBA),Any%,Donkey Kong Country 2 (GBA) - Any%,3271,2004,17,7,Game Boy Advance,Platform,,Rareware,Nintendo
Donkey Kong Country 2 (GBA),All Stages,Donkey Kong Country 2 (GBA) - All Stages,5039,2004,17,1,Game Boy Advance,Platform,,Rareware,Nintendo
Donkey Kong Country 2 (GBA),102%,Donkey Kong Country 2 (GBA) - 102%,9158,2004,17,2,Game Boy Advance,Platform,,Rareware,Nintendo
Donkey Kong Country 2 (GBA),True Ending,Donkey Kong Country 2 (GBA) - True Ending,672,2004,17,2,Game Boy Advance,Platform,,Rareware,Nintendo
Final Fantasy V,Any% w/ English Patch,Final Fantasy V - Any% w/ English Patch,13020,1992,29,31,Super Nintendo,,,,
Final Fantasy V,Any%,Final Fantasy V - Any%,12927,1992,29,4,Super Nintendo,,,,
Final Fantasy V,Any% Glitchless,Final Fantasy V - Any% Glitchless,13946,1992,29,2,Super Nintendo,,,,
Final Fantasy V,Any% GBA,Final Fantasy V - Any% GBA,13530,1992,29,7,Super Nintendo,,,,
Final Fantasy V,Any% PSX,Final Fantasy V - Any% PSX,8923,1992,29,3,Super Nintendo,,,,
Rush'n Attack,Any%,Rush'n Attack - Any%,571.817,1987,34,27,Nintendo Entertainment System,,,,
Rush'n Attack,2-player Any%,Rush'n Attack - 2-player Any%,580,1987,34,1,Nintendo Entertainment System,,,,
Lamm,World 5,Lamm - World 5,530.99,2017,4,1,PC,Platformer,,Léo-Games,
Lamm,World 6,Lamm - World 6,530.99,2017,4,0,PC,Platformer,,Léo-Games,
Lamm,All Levels,Lamm - All Levels,1935.14,2017,4,1,PC,Platformer,,Léo-Games,
Super Monkey Ball: Touch & Roll,All Worlds,Super Monkey Ball: Touch & Roll - All Worlds,1977,2005,16,6,Nintendo DS,,,,
Super Monkey Ball: Touch & Roll,Main Worlds,Super Monkey Ball: Touch & Roll - Main Worlds,1225,2005,16,4,Nintendo DS,,,,
Super Monkey Ball: Touch & Roll,Extra Worlds,Super Monkey Ball: Touch & Roll - Extra Worlds,665,2005,16,3,Nintendo DS,,,,
Super Mario Land 2: 6 Golden Coins,Any% Glitchless,Super Mario Land 2: 6 Golden Coins - Any% Glitchless,1574.417,1992,29,137,Nintendo 3DS Virtual Console,,,,
Super Mario Land 2: 6 Golden Coins,Any%,Super Mario Land 2: 6 Golden Coins - Any%,162.957,1992,29,26,Nintendo 3DS Virtual Console,,,,
Super Mario Land 2: 6 Golden Coins,All Levels,Super Mario Land 2: 6 Golden Coins - All Levels,2298.556,1992,29,17,Nintendo 3DS Virtual Console,,,,
Phantasy Star,Any%,Phantasy Star - Any%,3953,1987,34,11,Wii Virtual Console,JRPG,,SEGA,
Phantasy Star,All Dungeons,Phantasy Star - All Dungeons,5706,1987,34,1,Wii Virtual Console,JRPG,,SEGA,
Phantasy Star,100%,Phantasy Star - 100%,6232,1987,34,1,Wii Virtual Console,JRPG,,SEGA,
Ninja Spirit (GB),any%,Ninja Spirit (GB) - any%,402,1993,28,10,Game Boy,,,,
Donald Land,Any%,Donald Land - Any%,768,1988,33,4,Nintendo Entertainment System,,,,
Final Fantasy VII,PSX Disc,Final Fantasy VII - PSX Disc,10617,1997,24,63,PlayStation 2,,,,
Final Fantasy VII,PC,Final Fantasy VII - PC,4529,1997,24,147,PlayStation 2,,,,
Final Fantasy VII,PSX Digital,Final Fantasy VII - PSX Digital,25877,1997,24,19,PlayStation 2,,,,
Final Fantasy VII,PS4 / Switch / Xbox One,Final Fantasy VII - PS4 / Switch / Xbox One,10796,1997,24,28,PlayStation 2,,,,
Super Mario Bros. 3,100%,Super Mario Bros. 3 - 100%,4198.183,1988,33,127,Nintendo Entertainment System,Platformer,,Nintendo,
Super Mario Bros. 3,Any% Warpless,Super Mario Bros. 3 - Any% Warpless,3030,1988,33,272,Nintendo Entertainment System,Platformer,,Nintendo,
Super Mario Bros. 3,Any% (No Wrong Warp),Super Mario Bros. 3 - Any% (No Wrong Warp),644.216,1988,33,356,Nintendo Entertainment System,Platformer,,Nintendo,
Super Mario Bros. 3,Any%,Super Mario Bros. 3 - Any%,182.383,1988,33,386,Nintendo Entertainment System,Platformer,,Nintendo,
Mickey's Adventures in Numberland,Normal (Any%),Mickey's Adventures in Numberland - Normal (Any%),331,1994,27,8,Nintendo Entertainment System,,,,
Mickey's Adventures in Numberland,Normal (No Level Skip),Mickey's Adventures in Numberland - Normal (No Level Skip),589,1994,27,7,Nintendo Entertainment System,,,,
Mickey's Adventures in Numberland,Advanced,Mickey's Adventures in Numberland - Advanced,905,1994,27,2,Nintendo Entertainment System,,,,
Mickey's Adventures in Numberland,Super Advanced,Mickey's Adventures in Numberland - Super Advanced,814,1994,27,2,Nintendo Entertainment System,,,,
Legend of Hero Tonma,Any%,Legend of Hero Tonma - Any%,324,1989,32,9,Wii Virtual Console,Platformer,,Irem,Irem
Tekken 2,"All Default Characters (No Game Over Abuse, 1 Round)","Tekken 2 - All Default Characters (No Game Over Abuse, 1 Round)",1510,1996,25,8,PlayStation 2,Fighting,,Namco,Sony Computer Entertainment
Tekken 2,"All Default Characters (No Game Over Abuse, 2 Rounds)","Tekken 2 - All Default Characters (No Game Over Abuse, 2 Rounds)",3480,1996,25,1,PlayStation 2,Fighting,,Namco,Sony Computer Entertainment
Tekken 2,"Unlock All Endings (No Game Over Abuse, 1 Round)","Tekken 2 - Unlock All Endings (No Game Over Abuse, 1 Round)",4045,1996,25,5,PlayStation 2,Fighting,,Namco,Sony Computer Entertainment
Tekken 2,"Unlock All Endings (No Game Over Abuse, 2 Rounds)","Tekken 2 - Unlock All Endings (No Game Over Abuse, 2 Rounds)",8197,1996,25,3,PlayStation 2,Fighting,,Namco,Sony Computer Entertainment
Jewel Master,Normal,Jewel Master - Normal,674,1991,30,5,Sega Genesis,,,SEGA,SEGA
Jewel Master,Easy,Jewel Master - Easy,674,1991,30,0,Sega Genesis,,,SEGA,SEGA
Jewel Master,Hard,Jewel Master - Hard,674,1991,30,0,Sega Genesis,,,SEGA,SEGA
Turok: Evolution,Any%,Turok: Evolution - Any%,6558,2002,19,2,GameCube,,,,
Pitfall II: Lost Caverns,any%,Pitfall II: Lost Caverns - any%,249,1983,38,5,Atari 2600,,,,
Pitfall II: Lost Caverns,100%,Pitfall II: Lost Caverns - 100%,249,1983,38,0,Atari 2600,,,,
Panic Restaurant,Any% (US Version),Panic Restaurant - Any% (US Version),806.9,1992,29,43,Nintendo Entertainment System,,,,
Panic Restaurant,Any% (Japanese Version),Panic Restaurant - Any% (Japanese Version),802.867,1992,29,7,Nintendo Entertainment System,,,,
Disney's 102 Dalmatians: Puppies to the Rescue,All Levels,Disney's 102 Dalmatians: Puppies to the Rescue - All Levels,1047,2000,21,48,Dreamcast,Action-adventure,,Crystal Dynamics,Eidos Interactive
Disney's 102 Dalmatians: Puppies to the Rescue,All Puppies,Disney's 102 Dalmatians: Puppies to the Rescue - All Puppies,2492,2000,21,9,Dreamcast,Action-adventure,,Crystal Dynamics,Eidos Interactive
Disney's 102 Dalmatians: Puppies to the Rescue,100%,Disney's 102 Dalmatians: Puppies to the Rescue - 100%,5192,2000,21,6,Dreamcast,Action-adventure,,Crystal Dynamics,Eidos Interactive
Space Station Silicon Valley (N64),Any%,Space Station Silicon Valley (N64) - Any%,4024,1998,23,16,Nintendo 64,Platformer,,DMA,Take-Two
Space Station Silicon Valley (N64),99%,Space Station Silicon Valley (N64) - 99%,7577,1998,23,4,Nintendo 64,Platformer,,DMA,Take-Two
Space Station Silicon Valley (N64),Silver Evo,Space Station Silicon Valley (N64) - Silver Evo,4441,1998,23,5,Nintendo 64,Platformer,,DMA,Take-Two
Super Metroid,Any%,Super Metroid - Any%,2455,1994,27,1143,Super Nintendo,Action Adventure,,DeerForce,Nintendo
Super Metroid,100%,Super Metroid - 100%,4384,1994,27,499,Super Nintendo,Action Adventure,,DeerForce,Nintendo
Super Metroid,Low%,Super Metroid - Low%,2905,1994,27,79,Super Nintendo,Action Adventure,,DeerForce,Nintendo
Super Metroid,RBO,Super Metroid - RBO,3517,1994,27,110,Super Nintendo,Action Adventure,,DeerForce,Nintendo
Super Metroid,Any% Glitched,Super Metroid - Any% Glitched,698,1994,27,29,Super Nintendo,Action Adventure,,DeerForce,Nintendo
Super Metroid,GT Code,Super Metroid - GT Code,891,1994,27,199,Super Nintendo,Action Adventure,,DeerForce,Nintendo
Super Metroid,Map Completion,Super Metroid - Map Completion,4665,1994,27,32,Super Nintendo,Action Adventure,,DeerForce,Nintendo
VVVVVV,No OoB,VVVVVV - No OoB,0,2010,11,207,Nintendo 3DS,Platformer,,Terry Cavanagh,
VVVVVV,Glitchless,VVVVVV - Glitchless,0,2010,11,227,Nintendo 3DS,Platformer,,Terry Cavanagh,
VVVVVV,100%,VVVVVV - 100%,0,2010,11,48,Nintendo 3DS,Platformer,,Terry Cavanagh,
VVVVVV,Any%,VVVVVV - Any%,318,2010,11,47,Nintendo 3DS,Platformer,,Terry Cavanagh,
VVVVVV,No TJ,VVVVVV - No TJ,0,2010,11,14,Nintendo 3DS,Platformer,,Terry Cavanagh,
VVVVVV,No Death Mode,VVVVVV - No Death Mode,0,2010,11,8,Nintendo 3DS,Platformer,,Terry Cavanagh,
VVVVVV,Credits Warp,VVVVVV - Credits Warp,38.367,2010,11,18,Nintendo 3DS,Platformer,,Terry Cavanagh,
Axiom Verge,Any%,Axiom Verge - Any%,1826.433,2015,6,11,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games
Axiom Verge,Any% (NMG),Axiom Verge - Any% (NMG),2000.95,2015,6,47,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games
Axiom Verge,Any% Warpless,Axiom Verge - Any% Warpless,2558.11,2015,6,8,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games
Axiom Verge,100% Items,Axiom Verge - 100% Items,4090.233,2015,6,11,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games
Axiom Verge,100%,Axiom Verge - 100%,4739.367,2015,6,10,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games
Axiom Verge,100% (NMG),Axiom Verge - 100% (NMG),5323.833,2015,6,2,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games
Axiom Verge,Low%,Axiom Verge - Low%,2760.416,2015,6,4,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games
Axiom Verge,Randomizer% *BETA*,Axiom Verge - Randomizer% *BETA*,1078.365,2015,6,3,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games
Solomon's Key,Any%,Solomon's Key - Any%,747,1987,34,7,Nintendo Entertainment System,Puzzle,,Tecmo,Tecmo
Solomon's Key,Best Ending,Solomon's Key - Best Ending,1386,1987,34,2,Nintendo Entertainment System,Puzzle,,Tecmo,Tecmo
Soul Blade,Arcade,Soul Blade - Arcade,119.079,1996,25,16,PlayStation 2,,,,
Soul Blade,Edge Master,Soul Blade - Edge Master,410.037,1996,25,3,PlayStation 2,,,,
Forbidden Forest,Innocent%,Forbidden Forest - Innocent%,235.8,1983,38,1,Commodore 64,,,,
Duck Hunt,"100,000 Points (Game B)","Duck Hunt - 100,000 Points (Game B)",170.89,1984,37,50,Nintendo Entertainment System,,,,
Duck Hunt,"250,000 Points (Game B)","Duck Hunt - 250,000 Points (Game B)",361,1984,37,20,Nintendo Entertainment System,,,,
Duck Hunt,"250,000 Points (Game C)","Duck Hunt - 250,000 Points (Game C)",329.674,1984,37,18,Nintendo Entertainment System,,,,
Duck Hunt,"500,000 Points (Game B)","Duck Hunt - 500,000 Points (Game B)",616,1984,37,9,Nintendo Entertainment System,,,,
Duck Hunt,"500,000 Points (Game C)","Duck Hunt - 500,000 Points (Game C)",539,1984,37,6,Nintendo Entertainment System,,,,
Duck Hunt,"1,000,000 Points (Game B)","Duck Hunt - 1,000,000 Points (Game B)",998,1984,37,2,Nintendo Entertainment System,,,,
Duck Hunt,"1,000,000 Points (Game C)","Duck Hunt - 1,000,000 Points (Game C)",852,1984,37,3,Nintendo Entertainment System,,,,
Duck Hunt,Kill Screen,Duck Hunt - Kill Screen,5444,1984,37,2,Nintendo Entertainment System,,,,
Road Runner's Death Valley Rally,Any%,Road Runner's Death Valley Rally - Any%,1291,1992,29,4,Super Nintendo,Platform,,ICOM Simulations,Sunsoft
Metroid: Zero Mission,Any%,Metroid: Zero Mission - Any%,2212,2004,17,282,Game Boy Advance,,,,
Metroid: Zero Mission,100%,Metroid: Zero Mission - 100%,3951,2004,17,109,Game Boy Advance,,,,
Metroid: Zero Mission,9%,Metroid: Zero Mission - 9%,2889,2004,17,14,Game Boy Advance,,,,
Pitfall!,Any%,Pitfall! - Any%,1150,1982,39,1,Atari 2600,,,,
Pitfall!,114k,Pitfall! - 114k,1150,1982,39,1,Atari 2600,,,,
Sunset Riders (SNES),Any%,Sunset Riders (SNES) - Any%,1038,1993,28,35,Super Nintendo,,,,
Sunset Riders (SNES),Any% (Co-Op),Sunset Riders (SNES) - Any% (Co-Op),1056,1993,28,10,Super Nintendo,,,,
Contra 4,Any% Easy,Contra 4 - Any% Easy,1078,2007,14,3,Nintendo DS,Run and Gun,,Wayforward,Konami
Contra 4,Any% Normal,Contra 4 - Any% Normal,1477,2007,14,2,Nintendo DS,Run and Gun,,Wayforward,Konami
Contra 4,Any% Hard,Contra 4 - Any% Hard,1455,2007,14,2,Nintendo DS,Run and Gun,,Wayforward,Konami
Strider,(Arcade) 1CC,Strider - (Arcade) 1CC,459,1989,32,4,Wii Virtual Console,,CPS-1,Capcom,Capcom
Strider,Any% (Genesis),Strider - Any% (Genesis),565,1989,32,6,Wii Virtual Console,,CPS-1,Capcom,Capcom
Strider,Any% (SMS),Strider - Any% (SMS),453,1989,32,3,Wii Virtual Console,,CPS-1,Capcom,Capcom
The Incredible Hulk,Any%,The Incredible Hulk - Any%,453,2008,13,0,PlayStation 2,,,Edge of Reality,SEGA
MOTHER (EarthBound Beginnings),Breadcrumb Glitch,MOTHER (EarthBound Beginnings) - Breadcrumb Glitch,1739,1989,32,9,Nintendo Entertainment System,,,,
MOTHER (EarthBound Beginnings),No Breadcrumb Glitch,MOTHER (EarthBound Beginnings) - No Breadcrumb Glitch,5377,1989,32,1,Nintendo Entertainment System,,,,
MOTHER (EarthBound Beginnings),No Breadcrumb Glitch (No RNG Manip),MOTHER (EarthBound Beginnings) - No Breadcrumb Glitch (No RNG Manip),6287,1989,32,9,Nintendo Entertainment System,,,,
MOTHER (EarthBound Beginnings),GBA,MOTHER (EarthBound Beginnings) - GBA,3251,1989,32,17,Nintendo Entertainment System,,,,
Montezuma's Revenge,Levels 1 - 11,Montezuma's Revenge - Levels 1 - 11,3251,1989,32,0,Sega Master System,,,,
Pyjamarama,Any%,Pyjamarama - Any%,663,1984,37,1,Commodore 64,,,,
Pyjamarama,100%,Pyjamarama - 100%,715,1984,37,1,Commodore 64,,,,
BeetleJuice,Any%,BeetleJuice - Any%,687,1991,30,7,Nintendo Entertainment System,,,,
Castelian,Any%,Castelian - Any%,874,1991,30,2,Nintendo Entertainment System,Platformer,,Triffix Entertainment Inc.,Nintendo
Ikari Warriors,Any% (No ABBA),Ikari Warriors - Any% (No ABBA),2956,1986,35,4,Nintendo Entertainment System,,,,
Ikari Warriors,Any% Glitchless (No ABBA),Ikari Warriors - Any% Glitchless (No ABBA),2935,1986,35,1,Nintendo Entertainment System,,,,
Ikari Warriors,Any% (ABBA allowed),Ikari Warriors - Any% (ABBA allowed),2935,1986,35,0,Nintendo Entertainment System,,,,
The Great Waldo Search,NES,The Great Waldo Search - NES,27.7,1992,29,26,Nintendo Entertainment System,Puzzle,,,
The Great Waldo Search,SNES,The Great Waldo Search - SNES,44.829,1992,29,17,Nintendo Entertainment System,Puzzle,,,
The Great Waldo Search,Genesis,The Great Waldo Search - Genesis,29.25,1992,29,6,Nintendo Entertainment System,Puzzle,,,
Smurf: Rescue in Gargamel's Castle,Skill 1 (1 Loop),Smurf: Rescue in Gargamel's Castle - Skill 1 (1 Loop),22.722,1982,39,8,Atari 2600,,,,
Smurf: Rescue in Gargamel's Castle,Skill 2 (1 Loop),Smurf: Rescue in Gargamel's Castle - Skill 2 (1 Loop),48.014,1982,39,3,Atari 2600,,,,
Smurf: Rescue in Gargamel's Castle,Skill 3 (1 Loop),Smurf: Rescue in Gargamel's Castle - Skill 3 (1 Loop),71.171,1982,39,2,Atari 2600,,,,
Smurf: Rescue in Gargamel's Castle,Skill 4 (1 Loop),Smurf: Rescue in Gargamel's Castle - Skill 4 (1 Loop),105.505,1982,39,1,Atari 2600,,,,
Smurf: Rescue in Gargamel's Castle,ColecoVision,Smurf: Rescue in Gargamel's Castle - ColecoVision,56.91,1982,39,3,Atari 2600,,,,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Any%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Any%,2790,1996,25,162,Super Nintendo,Platformer,,Rare,Nintendo
Donkey Kong Country 3: Dixie Kong's Double Trouble!,103%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - 103%,6609,1996,25,57,Super Nintendo,Platformer,,Rare,Nintendo
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Warpless,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Warpless,3204,1996,25,35,Super Nintendo,Platformer,,Rare,Nintendo
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Beat Krematoa,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Beat Krematoa,903,1996,25,47,Super Nintendo,Platformer,,Rare,Nintendo
Mario Pinball Land,Any%,Mario Pinball Land - Any%,1053,2004,17,7,Game Boy Advance,,,,
Mario Pinball Land,100%,Mario Pinball Land - 100%,4257,2004,17,3,Game Boy Advance,,,,
Hogs of War,Any% No Major Glitches,Hogs of War - Any% No Major Glitches,5592.62,2000,21,6,PlayStation,Turn-based tactics,,Infogrames,Infogrames
Hogs of War,Any% (Half Health),Hogs of War - Any% (Half Health),4951.72,2000,21,4,PlayStation,Turn-based tactics,,Infogrames,Infogrames
Hogs of War,Boot Camp,Hogs of War - Boot Camp,138.69,2000,21,8,PlayStation,Turn-based tactics,,Infogrames,Infogrames
Hogs of War,Watta Pork%,Hogs of War - Watta Pork%,3780.42,2000,21,3,PlayStation,Turn-based tactics,,Infogrames,Infogrames
Hogs of War,100% / 100 Promotion Points,Hogs of War - 100% / 100 Promotion Points,7516.28,2000,21,3,PlayStation,Turn-based tactics,,Infogrames,Infogrames
Hogs of War,TAS,Hogs of War - TAS,3104,2000,21,1,PlayStation,Turn-based tactics,,Infogrames,Infogrames
Kyatto Ninden Teyandee (Samurai Pizza Cats),Beat the game,Kyatto Ninden Teyandee (Samurai Pizza Cats) - Beat the game,616,1991,30,25,Nintendo Entertainment System,,,,
Iji,Pacifist,Iji - Pacifist,1688,2008,13,7,PC,,,,
Iji,Non-Pacifist,Iji - Non-Pacifist,1624,2008,13,6,PC,,,,
Iji,All Items,Iji - All Items,3074,2008,13,2,PC,,,,
Iji,Berserker Ending,Iji - Berserker Ending,1,2008,13,2,PC,,,,
Iji,Ultimortal,Iji - Ultimortal,2898,2008,13,1,PC,,,,
Meteos,Straight Star Trip,Meteos - Straight Star Trip,238.784,2005,16,9,Nintendo DS,Puzzle,,Q Entertainment,Bandai
Meteos,Branch Star Trip,Meteos - Branch Star Trip,259.9,2005,16,3,Nintendo DS,Puzzle,,Q Entertainment,Bandai
Meteos,Multi Star Trip,Meteos - Multi Star Trip,309.667,2005,16,3,Nintendo DS,Puzzle,,Q Entertainment,Bandai
The Cowlitz Gamers' 2nd Adventure,Any % (Easy),The Cowlitz Gamers' 2nd Adventure - Any % (Easy),642,2017,4,8,Nintendo Entertainment System,Platformer,,,
The Cowlitz Gamers' 2nd Adventure,100% (Easy),The Cowlitz Gamers' 2nd Adventure - 100% (Easy),898,2017,4,1,Nintendo Entertainment System,Platformer,,,
The Cowlitz Gamers' 2nd Adventure,2 Player Any % (Easy),The Cowlitz Gamers' 2nd Adventure - 2 Player Any % (Easy),685,2017,4,2,Nintendo Entertainment System,Platformer,,,
Firestriker,1P Any%,Firestriker - 1P Any%,1099,1993,28,7,Super Nintendo,,,,
Firestriker,2P Any%,Firestriker - 2P Any%,1059,1993,28,3,Super Nintendo,,,,
Firestriker,1P Any% Fake-Swap,Firestriker - 1P Any% Fake-Swap,1065,1993,28,2,Super Nintendo,,,,
Wonder Boy in Monster World,Any% Genesis,Wonder Boy in Monster World - Any% Genesis,2806,1991,30,8,Wii Virtual Console,,,,
Wonder Boy in Monster World,100% Genesis,Wonder Boy in Monster World - 100% Genesis,3685,1991,30,4,Wii Virtual Console,,,,
Wonder Boy in Monster World,Any% Sega Master System,Wonder Boy in Monster World - Any% Sega Master System,1893,1991,30,3,Wii Virtual Console,,,,
Wonder Boy in Monster World,Any% Sega Master System - Turbo,Wonder Boy in Monster World - Any% Sega Master System - Turbo,1750,1991,30,1,Wii Virtual Console,,,,
Minit,Any%,Minit - Any%,227.9,2018,3,124,PlayStation 4,Adventure,,,Devolver Digital
Minit,110%,Minit - 110%,1109.77,2018,3,15,PlayStation 4,Adventure,,,Devolver Digital
Grand Theft Auto 2,Any%,Grand Theft Auto 2 - Any%,195,1999,22,4,Dreamcast,Open World,,DMA Design,Rockstar Games
Grand Theft Auto 2,Any% Missions Only,Grand Theft Auto 2 - Any% Missions Only,4970,1999,22,1,Dreamcast,Open World,,DMA Design,Rockstar Games
Grand Theft Auto 2,Any% PS,Grand Theft Auto 2 - Any% PS,497,1999,22,1,Dreamcast,Open World,,DMA Design,Rockstar Games
Grand Theft Auto 2,Any% (no EE-glitch),Grand Theft Auto 2 - Any% (no EE-glitch),966,1999,22,6,Dreamcast,Open World,,DMA Design,Rockstar Games
Grand Theft Auto 2,All Missions,Grand Theft Auto 2 - All Missions,10068,1999,22,4,Dreamcast,Open World,,DMA Design,Rockstar Games
Grand Theft Auto 2,100%,Grand Theft Auto 2 - 100%,23475,1999,22,1,Dreamcast,Open World,,DMA Design,Rockstar Games
Shinobi III: Return of the Ninja Master,Expert,Shinobi III: Return of the Ninja Master - Expert,1458,1993,28,12,Sega Genesis,Action,,Megasoft,SEGA
Shinobi III: Return of the Ninja Master,Normal,Shinobi III: Return of the Ninja Master - Normal,1613,1993,28,16,Sega Genesis,Action,,Megasoft,SEGA
Shinobi III: Return of the Ninja Master,Expert - Kunai-less,Shinobi III: Return of the Ninja Master - Expert - Kunai-less,1510,1993,28,5,Sega Genesis,Action,,Megasoft,SEGA
Shinobi III: Return of the Ninja Master,Normal - Kunai-less,Shinobi III: Return of the Ninja Master - Normal - Kunai-less,1708,1993,28,4,Sega Genesis,Action,,Megasoft,SEGA
Sonic Advance,Sonic,Sonic Advance - Sonic,979,2001,20,9,Game Boy Advance,Action,,Sonic Team,SEGA
Sonic Advance,Tails,Sonic Advance - Tails,871,2001,20,6,Game Boy Advance,Action,,Sonic Team,SEGA
Sonic Advance,Knuckles,Sonic Advance - Knuckles,945,2001,20,5,Game Boy Advance,Action,,Sonic Team,SEGA
Sonic Advance,Amy,Sonic Advance - Amy,970,2001,20,8,Game Boy Advance,Action,,Sonic Team,SEGA
Sonic Advance,Best Ending,Sonic Advance - Best Ending,5056,2001,20,1,Game Boy Advance,Action,,Sonic Team,SEGA
Disney's Bonkers (Genesis),Any%,Disney's Bonkers (Genesis) - Any%,1299.97,1994,27,2,Sega Genesis,Action,,SEGA,
Disney's Bonkers (Genesis),100%,Disney's Bonkers (Genesis) - 100%,1299.97,1994,27,0,Sega Genesis,Action,,SEGA,
Jurassic Park (GB),Any%,Jurassic Park (GB) - Any%,2256,1993,28,2,Game Boy Color,,,,
Indiana Jones and the Last Crusade (Taito),Any%,Indiana Jones and the Last Crusade (Taito) - Any%,205,1991,30,8,Nintendo Entertainment System,,,,
Arkanoid,Any % (US),Arkanoid - Any % (US),737,1987,34,6,Nintendo Entertainment System,Breakout,,Taito,Taito Corporation
Arkanoid,Any % (JP),Arkanoid - Any % (JP),1685,1987,34,1,Nintendo Entertainment System,Breakout,,Taito,Taito Corporation
Arkanoid,Any % Warpless (US),Arkanoid - Any % Warpless (US),1775,1987,34,2,Nintendo Entertainment System,Breakout,,Taito,Taito Corporation
Arkanoid,Any % Warpless (JP),Arkanoid - Any % Warpless (JP),1775,1987,34,0,Nintendo Entertainment System,Breakout,,Taito,Taito Corporation
Star Voyager,Any%,Star Voyager - Any%,1251,1986,35,3,Nintendo Entertainment System,Space Simulation,,Acclai,Acclaim
Ty the Tasmanian Tiger 2: Bush Rescue,Any%,Ty the Tasmanian Tiger 2: Bush Rescue - Any%,4115,2004,17,29,GameCube,Platformer,,Krome Studios,Electronic Arts
Ty the Tasmanian Tiger 2: Bush Rescue,All Missions,Ty the Tasmanian Tiger 2: Bush Rescue - All Missions,5794,2004,17,4,GameCube,Platformer,,Krome Studios,Electronic Arts
Ty the Tasmanian Tiger 2: Bush Rescue,100%,Ty the Tasmanian Tiger 2: Bush Rescue - 100%,10526,2004,17,3,GameCube,Platformer,,Krome Studios,Electronic Arts
Donkey Kong Land III,Any%,Donkey Kong Land III - Any%,2053,1997,24,12,Game Boy Color,,,,
Donkey Kong Land III,103%,Donkey Kong Land III - 103%,5872,1997,24,1,Game Boy Color,,,,
Kuru Kuru Kururin,Any% (Normal),Kuru Kuru Kururin - Any% (Normal),715,2001,20,70,Game Boy Advance,,,,
Kuru Kuru Kururin,Best Ending (Normal),Kuru Kuru Kururin - Best Ending (Normal),797,2001,20,5,Game Boy Advance,,,,
Kuru Kuru Kururin,Any% (Easy),Kuru Kuru Kururin - Any% (Easy),618,2001,20,4,Game Boy Advance,,,,
Kuru Kuru Kururin,Best Ending (Easy),Kuru Kuru Kururin - Best Ending (Easy),775,2001,20,2,Game Boy Advance,,,,
Kuru Kuru Kururin,100%,Kuru Kuru Kururin - 100%,2205,2001,20,1,Game Boy Advance,,,,
Tetris Party Deluxe (Nintendo DS),40 Lines,Tetris Party Deluxe (Nintendo DS) - 40 Lines,39.9,2010,11,18,Nintendo DS,Puzzle,,,
Tetris Party Deluxe (Nintendo DS),Marathon,Tetris Party Deluxe (Nintendo DS) - Marathon,257.16,2010,11,4,Nintendo DS,Puzzle,,,
Tetris Party Deluxe (Nintendo DS),Master Mode,Tetris Party Deluxe (Nintendo DS) - Master Mode,305.66,2010,11,3,Nintendo DS,Puzzle,,,
Tetris Party Deluxe (Nintendo DS),Field Climber,Tetris Party Deluxe (Nintendo DS) - Field Climber,473.726,2010,11,1,Nintendo DS,Puzzle,,,
Tetris Party Deluxe (Nintendo DS),Stage Racer,Tetris Party Deluxe (Nintendo DS) - Stage Racer,54.26,2010,11,8,Nintendo DS,Puzzle,,,
Tobu Tobu Girl,Any%,Tobu Tobu Girl - Any%,54.26,2017,4,0,Game Boy Color,,,,
Shadowgate 64,Any%,Shadowgate 64 - Any%,3323,1999,22,3,Nintendo 64,,,,
Snoopy v1.0,Any%,Snoopy v1.0 - Any%,3323,2004,17,0,PC,,,,
Snoopy v1.0,Easy%,Snoopy v1.0 - Easy%,459.94,2004,17,4,PC,,,,
Snoopy v1.0,Medium%,Snoopy v1.0 - Medium%,459.94,2004,17,0,PC,,,,
Snoopy v1.0,Hard%,Snoopy v1.0 - Hard%,459.94,2004,17,0,PC,,,,
Donkey Kong Jr. Math,Calculate A,Donkey Kong Jr. Math - Calculate A,66.55,1986,35,30,Nintendo Entertainment System,,,,
Donkey Kong Jr. Math,Calculate B,Donkey Kong Jr. Math - Calculate B,94.43,1986,35,11,Nintendo Entertainment System,,,,
