,game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher,TAS_time,emulator,time_difference,%_of_difference
295,Phantasy Star III: Generations of Doom,Any%,Phantasy Star III: Generations of Doom - Any%,7122.0,1990,31,8,Wii Virtual Console,Role-playing Game,,,,5875.98,,1246.0200000000004,17.4953664700927
296,Doug's Big Game,Any%,Doug's Big Game - Any%,236.0,2000,21,3,Game Boy Color,,,,,219.91,,16.090000000000003,6.81779661016949
297,The Simpsons: Bart vs. the Space Mutants,Any%,The Simpsons: Bart vs. the Space Mutants - Any%,940.0,1991,30,11,Nintendo Entertainment System,,,,,778.9,,161.10000000000002,17.1382978723404
298,Pocky & Rocky,Any%,Pocky & Rocky - Any%,1178.0,1992,29,7,Super Nintendo,,,,,1120.17,BizHawk,57.82999999999993,4.90916808149405
299,Uchuu no Kishi Tekkaman Blade,Any%,Uchuu no Kishi Tekkaman Blade - Any%,514.0,1993,28,1,Game Boy,,,,,496.05,,17.94999999999999,3.49221789883268
300,Sonic Adventure 2: Battle,Hero Story,Sonic Adventure 2: Battle - Hero Story,1872.13,2001,20,666,GameCube,3D Platformer,Adventure Engine,Sonic Team,SEGA,1632.38,Dolphin,239.75,12.8062687954362
301,Ironsword: Wizards & Warriors II,Any%,Ironsword: Wizards & Warriors II - Any%,508.0,1988,33,21,Nintendo Entertainment System,,,,,434.32,,73.68,14.503937007874
302,MDK,Any%,MDK - Any%,2031.0,1997,24,9,PlayStation,,,,,1867.28,,163.72000000000003,8.06105366814377
303,Shining in the Darkness,Any%,Shining in the Darkness - Any%,9202,1991,30,3,Sega Genesis,,,,,2607.2,,6594.8,71.6670289067594
304,The Karate Kid,Any%,The Karate Kid - Any%,238.658,1987,34,53,Nintendo Entertainment System,Action,,Atlus,LJN,189.12,,49.53799999999998,20.7568989935389
305,Mercs,Any%,Mercs - Any%,597.0,1990,31,5,Arcade,,,,,592.9,,4.100000000000023,0.686767169179233
306,Catwoman,Any%,Catwoman - Any%,4285,2004,17,3,GameCube,Action,,EA Games,,1486.23,,2798.77,65.3155192532089
307,Super Mario World 2: Yoshi's Island,100%,Super Mario World 2: Yoshi's Island - 100%,8482.0,1995,26,56,Super Nintendo,Platformer,,,Nintendo,7175.12,snes9x,1306.88,15.4076868663051
308,Avatar: The Last Airbender,Any%,Avatar: The Last Airbender - Any%,7843,2006,15,2,GameCube,Action-adventure,,THQ Studio Australia,THQ,3338.04,,4504.96,57.4392451867908
309,Wario Land: Super Mario Land 3,Any%,Wario Land: Super Mario Land 3 - Any%,1372.0,1994,27,27,Game Boy Color,Platformer,,,Nintendo,1183.51,BizHawk,188.49,13.7383381924198
310,Mr. Nutz,Any%,Mr. Nutz - Any%,1765.0,1994,27,1,Super Nintendo,,,,,1753.85,,11.150000000000091,0.631728045325784
311,Mr. Nutz,100%,Mr. Nutz - 100%,2561.0,1994,27,1,Super Nintendo,,,,,2511.6,,49.40000000000009,1.92893401015229
